taxa	log2fold_1hr
Phvul.001G029500.1	-0.76
Phvul.001G029600.1	-0.16
Phvul.001G029700.1	-1.36
Phvul.001G029800.1	0.01
Phvul.001G029900.1	0.31
Phvul.001G030000.1	0.28
Phvul.001G030100.1	NA
Phvul.001G030200.1	0.1
Phvul.001G030300.1	0.11
Phvul.001G030400.1	NA
Phvul.001G030500.1	0.25
Phvul.001G030600.1	0.04
Phvul.001G030700.1	0.15
Phvul.001G030800.1	0.98
Phvul.001G030900.1	0.51
Phvul.001G031000.1	-0.69
Phvul.001G031100.1	0.18
Phvul.001G031200.1	-0.33
Phvul.001G031300.1	-0.15
Phvul.001G031400.1	-0.4
Phvul.001G031500.1	0.71
Phvul.001G031600.1	-0.36
Phvul.001G031700.1	-0.18
Phvul.001G031800.1	-0.23
Phvul.001G031900.1	-0.14
Phvul.001G032000.1	-0.24
Phvul.001G032100.1	0.09
Phvul.001G032200.1	0
Phvul.001G032300.1	-0.04
Phvul.001G032400.1	0.5
Phvul.001G032500.1	-0.05
Phvul.001G032600.1	0.76
Phvul.001G032700.1	-0.05
Phvul.001G032800.1	0.16
Phvul.001G032900.1	-0.15
Phvul.001G033000.1	NA
Phvul.001G033100.1	0.42
Phvul.001G033200.1	-0.31
Phvul.001G033300.1	0.15
Phvul.001G033400.1	-0.2
Phvul.001G033500.1	0.53
Phvul.001G033600.1	NA
Phvul.001G033600.1	NA
Phvul.001G033700.1	1.01
Phvul.001G033800.1	0.69
Phvul.001G033900.1	-0.19
Phvul.001G034000.1	0.61
Phvul.001G034100.1	-0.72
Phvul.001G034200.1	0
Phvul.001G034300.1	0.35
Phvul.001G034400.1	-0.43
Phvul.001G034500.1	0.09
Phvul.001G034600.1	-0.47
Phvul.001G034700.1	-0.08
Phvul.001G034800.1	-0.2
Phvul.001G034900.1	-0.35
Phvul.001G035000.1	-0.07
Phvul.001G035100.1	0.22
Phvul.001G035200.1	-1.11
Phvul.001G035300.1	0.14
Phvul.001G035400.1	-0.06
Phvul.001G035500.1	0.13
Phvul.001G035600.1	-1.77
Phvul.001G035700.1	-0.32
Phvul.001G035800.1	0.16
Phvul.001G035900.1	0.34
Phvul.001G036000.1	0.3
Phvul.001G036100.1	0.02
Phvul.001G036200.1	-0.83
Phvul.001G036300.1	0.18
Phvul.001G036400.1	0.23
Phvul.001G036500.1	-0.65
Phvul.001G036600.1	-1.39
Phvul.001G036700.1	-0.49
Phvul.001G036800.1	0.26
Phvul.001G036900.1	0.32
Phvul.001G037000.1	-0.13
Phvul.001G037100.1	NA
Phvul.001G037200.1	-0.17
Phvul.001G037300.1	NA
Phvul.001G037400.1	0.48
Phvul.001G037500.1	-0.36
Phvul.001G037600.1	-0.7
Phvul.001G037700.1	1.11
Phvul.001G037800.1	0.97
Phvul.001G037900.1	0.58
Phvul.001G038000.1	0.36
Phvul.001G038100.1	NA
Phvul.001G038200.1	0.26
Phvul.001G038300.1	-0.24
Phvul.001G038400.1	-0.24
Phvul.001G038500.1	-0.55
Phvul.001G038600.1	0.19
Phvul.001G038700.1	-0.04
Phvul.001G038800.1	-0.26
Phvul.001G038900.1	0.13
Phvul.001G039000.1	0.06
Phvul.001G039100.1	-0.41
Phvul.001G039200.1	-0.09
Phvul.001G039300.1	NA
Phvul.001G039300.1	-0.34
Phvul.001G039400.1	-0.54
Phvul.001G039500.1	0.34
Phvul.001G039600.1	NA
Phvul.001G039700.1	-0.31
Phvul.001G039800.1	-0.43
Phvul.001G039900.1	0.6
Phvul.001G040000.1	NA
Phvul.001G040100.1	0.15
Phvul.001G040200.1	0.22
Phvul.001G040300.1	-0.58
Phvul.001G040400.1	0.29
Phvul.001G040500.1	NA
Phvul.001G040600.1	0.21
Phvul.001G040700.1	0.47
Phvul.001G040800.1	0.78
Phvul.001G040900.1	0.39
Phvul.001G041000.1	1.53
Phvul.001G041100.1	0.21
Phvul.001G041200.1	0.15
Phvul.001G041300.1	0.09
Phvul.001G041400.1	-0.29
Phvul.001G041500.1	-0.21
Phvul.001G041600.1	-1.05
Phvul.001G041700.1	-0.93
Phvul.001G041800.1	0.28
Phvul.001G041900.1	-0.03
Phvul.001G042000.1	0.16
Phvul.001G042100.1	-0.3
Phvul.001G042200.1	0.15
Phvul.001G042300.1	0.01
Phvul.001G042400.1	0.02
Phvul.001G042500.1	0.18
Phvul.001G042600.1	0.42
Phvul.001G042700.1	0.1
Phvul.001G042800.1	0.27
Phvul.001G042900.1	0.21
Phvul.001G042900.1	0.2
Phvul.001G043000.1	0.87
Phvul.001G043100.1	-1.06
Phvul.001G043200.1	-0.81
Phvul.001G043300.1	-0.22
Phvul.001G043400.1	0.18
Phvul.001G043500.1	-0.42
Phvul.001G043600.1	-0.5
Phvul.001G043700.1	0.07
Phvul.001G043800.1	0.18
Phvul.001G043900.1	-0.03
Phvul.001G044000.1	-0.1
Phvul.001G044100.1	0.34
Phvul.001G044200.1	NA
Phvul.001G044300.1	NA
Phvul.001G044400.1	0
Phvul.001G044500.1	0.75
Phvul.001G044600.1	0.14
Phvul.001G044700.1	-1.31
Phvul.001G044800.1	0.04
Phvul.001G044900.1	-0.02
Phvul.001G045000.1	-0.84
Phvul.001G045100.1	-0.06
Phvul.001G045200.1	-0.08
Phvul.001G045300.1	0.14
Phvul.001G045400.1	2.62
Phvul.001G045500.1	0.4
Phvul.001G045600.1	-0.14
Phvul.001G045700.1	0.63
Phvul.001G045800.1	NA
Phvul.001G045900.1	-0.17
Phvul.001G046000.1	NA
Phvul.001G046100.1	NA
Phvul.001G046200.1	-0.22
Phvul.001G046300.1	0.72
Phvul.001G046400.1	0.2
Phvul.001G046500.1	-1.18
Phvul.001G046600.1	0.4
Phvul.001G046700.1	-0.45
Phvul.001G046800.1	1.3
Phvul.001G046900.1	-1.78
Phvul.001G047000.1	0.12
Phvul.001G047000.1	NA
Phvul.001G047100.1	-0.07
Phvul.001G047200.1	0.04
Phvul.001G047300.1	-0.1
Phvul.001G047400.1	-0.62
Phvul.001G047500.1	-0.31
Phvul.001G047600.1	-0.33
Phvul.001G047700.1	0.15
Phvul.001G047800.1	0.22
Phvul.001G047900.1	0.84
Phvul.001G048000.1	1.24
Phvul.001G048100.1	1.55
Phvul.001G048200.1	4.1
Phvul.001G048300.1	0.79
Phvul.001G048400.1	NA
Phvul.001G048500.1	0.18
Phvul.001G048600.1	0.05
Phvul.001G048600.1	0.27
Phvul.001G048700.1	0.93
Phvul.001G048800.1	1.34
Phvul.001G048900.1	2.35
Phvul.001G049000.1	0.05
Phvul.001G049000.1	0.03
Phvul.001G049100.1	-0.03
Phvul.001G049200.1	NA
Phvul.001G049300.1	NA
Phvul.001G049400.1	1.91
Phvul.001G049500.1	0.32
Phvul.001G049600.1	1.09
Phvul.001G049700.1	0.13
Phvul.001G049800.1	-0.51
Phvul.001G049900.1	0.16
Phvul.001G050000.1	-0.28
Phvul.001G050100.1	-0.56
Phvul.001G050200.1	NA
Phvul.001G050300.1	-0.4
Phvul.001G050400.1	-1.9
Phvul.001G050500.1	-0.41
Phvul.001G050600.1	-0.89
Phvul.001G050700.1	0.01
Phvul.001G050800.1	-0.12
Phvul.001G050900.1	0.39
Phvul.001G051000.1	1.21
Phvul.001G051100.1	0.16
Phvul.001G051200.1	-0.18
Phvul.001G051300.1	-0.23
Phvul.001G051400.1	0.39
Phvul.001G051500.1	NA
Phvul.001G051600.1	0
Phvul.001G051700.1	0.06
Phvul.001G051800.1	0.23
Phvul.001G051800.1	1.23
Phvul.001G051900.1	0.26
Phvul.001G052000.1	1.04
Phvul.001G052100.1	NA
Phvul.001G052200.1	0.95
Phvul.001G052300.1	-0.51
Phvul.001G052400.1	1.18
