taxa	log2fold_1hr
Vigun03g083100	0
Vigun03g083700	0
Vigun03g084300	0
Vigun03g084600	0
Vigun03g084700	0
Vigun03g085000	0
Vigun03g085100	0
Vigun03g086300	0
Vigun03g088000	0
Vigun03g091700	0
Vigun03g091800	0
Vigun03g093400	0
Vigun03g093500	0
Vigun03g094200	0
Vigun03g094300	0
Vigun03g096700	0
Vigun03g099300	0
Vigun03g099900	0
Vigun03g105900	0
Vigun03g106300	0
Vigun03g106900	0
Vigun03g107000	0
Vigun03g107300	0
Vigun03g107600	0
Vigun03g112000	0
Vigun03g112400	0
Vigun03g114000	0
Vigun03g115400	0
Vigun03g115500	0
Vigun03g116900	0
Vigun03g117700	0
Vigun03g118700	0
Vigun03g118900	0
Vigun03g119000	0
Vigun03g119100	0
Vigun03g119200	0
Vigun03g119300	0
Vigun03g119400	0
Vigun03g119500	0
Vigun03g119600	0
Vigun03g120600	0
Vigun03g120700	0
Vigun03g120800	0
Vigun03g120900	0
Vigun03g121200	0
Vigun03g123100	0
Vigun03g123200	0
Vigun03g123300	0
Vigun03g123400	0
Vigun03g123500	0
Vigun03g126300	0
Vigun03g126700	0
Vigun03g127400	0
Vigun03g127500	0
Vigun03g127600	0
Vigun03g129100	0
Vigun03g129600	0
Vigun03g129800	0
Vigun03g130100	0
Vigun03g130700	0
Vigun03g130800	0
Vigun03g134600	0
Vigun03g134900	0
Vigun03g135000	0
Vigun03g135200	0
Vigun03g135300	0
Vigun03g135800	0
Vigun03g135900	0
Vigun03g136000	0
Vigun03g136200	0
Vigun03g136300	0
Vigun03g136500	0
Vigun03g137300	0
Vigun03g139000	0
Vigun03g139600	0
Vigun03g139700	0
Vigun03g139800	0
Vigun03g140000	0
Vigun03g140300	0
Vigun03g140600	0
Vigun03g141100	0
Vigun03g141200	0
Vigun03g141700	0
Vigun03g141800	0
Vigun03g141900	0
Vigun03g142200	0
Vigun03g142300	0
Vigun03g142400	0
Vigun03g143300	0
Vigun03g144900	0
Vigun03g147100	0
Vigun03g147200	0
Vigun03g147300	0
Vigun03g147900	0
Vigun03g148900	0
Vigun03g149200	0
Vigun03g149600	0
Vigun03g149700	0
Vigun03g150200	0
Vigun03g150800	0
Vigun03g150900	0
Vigun03g152400	0
Vigun03g152500	0
Vigun03g152700	0
Vigun03g153100	0
Vigun03g153600	0
Vigun03g153700	0
Vigun03g153800	0
Vigun03g155500	0
Vigun03g156300	0
Vigun03g157100	0
Vigun03g157200	0
Vigun03g157600	0
Vigun03g158600	0
Vigun03g158700	0
Vigun03g159100	0
Vigun03g159200	0
Vigun03g161200	0
Vigun03g161400	0
Vigun03g161500	0
Vigun03g162300	0
Vigun03g162400	0
Vigun03g162500	0
Vigun03g164900	0
Vigun03g167600	0
Vigun03g169400	0
Vigun03g170600	0
Vigun03g171500	0
Vigun03g173400	0
Vigun03g173500	0
Vigun03g173600	0
Vigun03g174600	0
Vigun03g175300	0
Vigun03g175400	0
Vigun03g175800	0
Vigun03g176000	0
Vigun03g177500	0
Vigun03g177700	0
Vigun03g177800	0
Vigun03g178700	0
Vigun03g179400	0
Vigun03g180100	0
Vigun03g180200	0
Vigun03g181000	0
Vigun03g181100	0
Vigun03g184100	0
Vigun03g184200	0
Vigun03g188200	0
Vigun03g188900	0
Vigun03g189000	0
Vigun03g190800	0
Vigun03g191800	0
Vigun03g192300	0
Vigun03g192800	0
Vigun03g193500	0
Vigun03g194100	0
Vigun03g194600	0
Vigun03g195400	0
Vigun03g195500	0
Vigun03g195600	0
Vigun03g197600	0
Vigun03g197900	0
Vigun03g198000	0
Vigun03g200500	0
Vigun03g200600	0
Vigun03g200800	0
Vigun03g200900	0
Vigun03g201000	0
Vigun03g201300	0
Vigun03g201800	0
Vigun03g202000	0
Vigun03g203300	0
Vigun03g203600	0
Vigun03g203700	0
Vigun03g205700	0
Vigun03g206700	0
Vigun03g207100	0
Vigun03g208300	0
Vigun03g208400	0
Vigun03g208600	0
Vigun03g209300	0
Vigun03g209700	0
Vigun03g209900	0
Vigun03g210000	0
Vigun03g210400	0
Vigun03g210800	0
Vigun03g211600	0
Vigun03g212000	0
Vigun03g212400	0
Vigun03g213000	0
Vigun03g213100	0
Vigun03g213500	0
Vigun03g213700	0
Vigun03g213900	0
Vigun03g216400	0
Vigun03g217500	0
Vigun03g217600	0
Vigun03g219300	0
Vigun03g220700	0
Vigun03g221100	0
Vigun03g222800	0
Vigun03g224100	0
Vigun03g225200	0
Vigun03g226800	0
Vigun03g227300	0
Vigun03g227400	0
Vigun03g227500	0
Vigun03g227600	0
Vigun03g227800	0
