taxa	In11_one_hr	six_hr
Vigun07g070300	1.06	0.54
Vigun09g232400	1.06	0.89
Vigun03g172100	1.06	0.20
Vigun04g178400	1.06	0.66
Vigun09g122400	1.06	-0.06
Vigun09g213700	1.05	-0.41
Vigun01g192700	1.05	0.23
Vigun01g137500	1.05	0.56
Vigun08g005000	1.04	0.33
Vigun03g144800	1.04	0.52
Vigun03g334700	1.04	0.47
Vigun02g076200	1.04	0.96
Vigun03g397200	1.04	0.91
Vigun06g197500	1.03	-0.26
Vigun04g179700	1.03	1.61
Vigun05g288100	1.03	0.77
Vigun10g146700	1.03	0.72
Vigun03g198700	1.03	1.26
Vigun05g235800	1.02	0.70
Vigun01g234100	1.02	1.87
Vigun02g180000	1.02	0.29
Vigun07g092300	1.02	0.58
Vigun09g184500	1.02	-0.33
Vigun03g408800	1.02	0.67
Vigun04g180200	1.02	-0.40
Vigun02g160000	1.01	0.12
Vigun07g257900	1.01	1.56
Vigun05g106100	1.01	-0.34
Vigun01g159500	1.01	0.03
Vigun08g102900	1.01	0.01
Vigun03g236000	1.00	0.42
Vigun03g300000	1.00	-0.15
Vigun07g030300	-1.01	0.77
Vigun09g075800	-1.01	-1.28
Vigun06g162300	-1.01	-1.15
Vigun03g228000	-1.02	0.15
Vigun07g130800	-1.02	-0.32
Vigun08g151600	-1.03	-0.16
Vigun08g146400	-1.03	-0.33
Vigun09g068700	-1.04	-0.65
Vigun07g144800	-1.04	-0.66
Vigun03g415000	-1.04	-0.37
Vigun03g024500	-1.04	-0.17
Vigun08g195000	-1.05	-0.84
Vigun11g121100	-1.05	-0.59
Vigun04g172100	-1.06	-0.63
Vigun03g168800	-1.06	0.27
Vigun03g270000	-1.06	0.25
Vigun02g177500	-1.06	-0.84
Vigun06g145000	-1.06	-1.12
Vigun03g370200	-1.07	-0.90
Vigun08g134200	-1.08	0.38
Vigun05g219500	-1.08	-0.14
Vigun02g005400	-1.08	-0.65
Vigun10g111800	-1.08	-0.25
Vigun04g120100	-1.08	-0.73
Vigun09g215200	-1.09	-0.67
Vigun04g018300	-1.09	-0.22
Vigun09g218300	-1.09	-0.76
Vigun05g278900	-1.09	-1.04
Vigun09g240500	-1.10	-0.69
Vigun09g236400	-1.10	-1.14
Vigun05g152800	-1.11	-0.80
Vigun05g252000	-1.11	0.05
Vigun05g193600	-1.12	0.09
Vigun05g247900	-1.13	-0.44
Vigun03g216800	-1.13	-0.05
Vigun09g201000	-1.14	-0.29
Vigun11g033900	-1.15	0.41
Vigun11g152600	-1.16	-1.45
Vigun09g143100	-1.16	-1.30
Vigun06g165100	-1.18	-0.35
Vigun07g217400	-1.18	-0.13
Vigun07g216700	-1.19	-0.57
Vigun01g231700	-1.20	-0.76
Vigun08g036100	-1.22	-1.10
Vigun08g041200	-1.22	-0.20
Vigun06g062500	-1.23	-0.22
Vigun03g014600	-1.23	-0.04
Vigun02g124200	-1.24	-0.23
Vigun07g143800	-1.24	-0.03
Vigun07g285300	-1.24	-0.71
Vigun03g429000	-1.25	0.10
Vigun01g174400	-1.25	0.55
Vigun08g048500	-1.25	1.20
Vigun03g393700	-1.26	-0.82
Vigun04g183500	-1.26	-1.26
Vigun01g105200	-1.26	0.62
Vigun09g051700	-1.27	-0.36
Vigun10g056700	-1.29	0.96
Vigun09g191400	-1.29	-1.05
Vigun07g180400	-1.29	-1.09
Vigun04g158900	-1.29	0.75
Vigun06g196400	-1.30	-0.57
Vigun02g157200	-1.31	-0.04
Vigun09g020300	-1.32	-0.54
Vigun05g137800	-1.34	0.58
Vigun04g143900	-1.34	1.55
Vigun04g130600	-1.34	-0.94
Vigun01g235900	-1.36	-0.62
Vigun08g038600	-1.36	-0.19
Vigun10g190400	-1.37	-1.05
Vigun09g174100	-1.37	-0.25
Vigun03g063900	-1.38	-0.50
Vigun09g180700	-1.39	-0.96
Vigun11g015600	-1.39	0.20
Vigun03g146000	-1.43	0.42
Vigun11g113300	-1.43	-0.97
Vigun07g186200	-1.44	0.35
Vigun07g242100	-1.44	0.16
Vigun03g104900	-1.44	0.80
Vigun01g181100	-1.45	-0.68
Vigun03g021400	-1.45	-0.02
Vigun06g075700	-1.46	-0.16
Vigun10g114300	-1.53	-0.29
Vigun02g118800	-1.54	-0.96
Vigun01g194500	-1.55	1.01
Vigun08g180000	-1.55	0.41
Vigun02g036500	-1.58	0.94
Vigun01g160500	-1.59	-0.02
Vigun03g168100	-1.66	-0.33
Vigun05g017900	-1.67	-0.53
Vigun11g010700	-1.70	0.56
Vigun05g017800	-1.70	-0.13
Vigun01g041700	-1.72	-1.91
Vigun09g153100	-1.72	-0.61
Vigun06g156800	-1.74	-0.03
Vigun10g158300	-1.74	0.27
Vigun06g094300	-1.80	-0.13
Vigun03g283100	-1.87	-0.56
Vigun08g108100	-1.91	-0.70
Vigun08g036200	-1.98	0.11
Vigun05g073200	-2.08	1.19
Vigun09g190200	-2.11	0.12
Vigun08g090400	-2.13	-0.77
Vigun06g077700	-2.25	0.77
Vigun08g185700	-2.32	-0.76
Vigun03g392100	-2.45	0.46
Vigun08g154300	-2.50	-1.03
Vigun10g179400	-2.67	-1.13
Vigun10g098200	-6.06	0.43
Vigun02g147900	6.21	1.12
Vigun07g179300	5.86	0.70
Vigun02g188700	5.44	0.38
Vigun11g163900	5.35	-0.61
Vigun02g188800	5.28	4.30
Vigun02g070300	5.25	-0.21
Vigun02g029100	5.20	1.85
Vigun06g160400	5.10	0.92
Vigun05g116000	4.99	-1.32
Vigun03g247100	4.94	2.61
Vigun07g259100	4.86	1.28
Vigun04g027600	4.71	0.71
Vigun11g141200	4.71	1.14
Vigun06g160300	4.55	0.56
Vigun01g014700	4.45	2.10
Vigun03g134700	4.34	-0.60
Vigun03g077200	4.33	3.85
Vigun06g160200	4.29	1.59
Vigun02g152900	4.28	2.11
Vigun10g125000	4.22	3.11
Vigun08g074100	4.16	-0.62
Vigun02g189200	4.11	5.33
Vigun05g009400	4.10	1.57
Vigun04g139800	4.08	0.22
Vigun02g189100	3.98	-0.33
Vigun01g011400	3.92	2.54
Vigun01g187600	3.90	-0.09
Vigun01g140400	3.87	0.11
Vigun03g277900	3.82	0.18
Vigun09g230400	3.80	-0.50
Vigun05g162300	3.74	1.49
Vigun05g014500	3.69	1.19
Vigun02g129000	3.68	3.81
Vigun09g236700	3.68	0.65
Vigun01g161500	3.67	-1.32
Vigun08g143800	3.65	-0.43
Vigun06g224300	3.59	0.64
Vigun07g106300	3.59	1.55
Vigun04g051400	3.56	0.79
Vigun07g014600	3.53	0.80
Vigun06g160500	3.46	0.25
Vigun04g166000	3.44	-1.16
Vigun08g164300	3.43	-1.29
Vigun01g236500	3.43	0.00
Vigun10g117900	3.39	-0.95
Vigun07g141000	3.39	0.13
Vigun03g312200	3.37	0.02
Vigun05g168100	3.36	-0.84
Vigun04g030900	3.32	0.51
Vigun07g128200	3.31	-0.53
Vigun07g162600	3.29	0.00
Vigun06g077900	3.29	0.85
Vigun08g131900	3.28	-0.67
Vigun09g228800	3.27	-0.14
Vigun04g060000	3.18	-3.17
Vigun01g196400	3.18	-0.86
Vigun04g086200	3.13	0.64
Vigun08g124400	3.09	-2.38
Vigun07g196700	3.08	1.34
Vigun03g426900	3.08	0.76
Vigun09g271600	3.03	-1.61
Vigun10g133300	3.01	0.35
Vigun09g197100	3.01	2.69
Vigun09g058800	2.99	0.20
Vigun07g205600	2.99	0.69
Vigun03g002800	2.97	-2.33
Vigun07g016600	2.97	-0.79
Vigun08g150900	2.97	1.97
Vigun06g053500	2.96	-0.67
Vigun10g009000	2.92	-0.43
Vigun08g103700	2.91	0.87
Vigun07g062500	2.88	-0.25
Vigun11g201100	2.88	1.47
Vigun04g176400	2.87	0.69
Vigun07g099600	2.87	-0.78
Vigun03g113800	2.87	1.61
Vigun07g097400	2.87	2.19
Vigun05g189100	2.87	0.52
Vigun09g135000	2.85	-0.83
Vigun04g100200	2.84	-0.49
Vigun01g028600	2.83	3.02
Vigun09g240800	2.83	2.98
Vigun01g114400	2.82	0.00
Vigun01g182900	2.81	-0.15
Vigun06g238600	2.80	-0.52
Vigun01g235000	2.80	4.00
Vigun06g200900	2.78	-0.10
Vigun08g200800	2.78	0.03
Vigun05g248100	2.76	1.59
Vigun04g104800	2.75	1.50
Vigun06g057400	2.75	0.48
Vigun05g103500	2.74	1.54
Vigun07g129100	2.73	1.27
Vigun10g083200	2.73	0.56
Vigun05g146100	2.71	2.88
Vigun08g117800	2.68	1.04
Vigun09g171000	2.68	1.35
Vigun01g199400	2.68	-0.61
Vigun07g183300	2.67	-0.17
Vigun07g256200	2.66	1.79
Vigun06g200600	2.65	-0.99
Vigun06g182400	2.65	1.92
Vigun06g008200	2.63	0.63
Vigun03g001300	2.62	1.13
Vigun03g219900	2.62	-1.01
Vigun01g187900	2.62	-0.94
Vigun02g061700	2.62	0.14
Vigun11g090100	2.62	-1.85
Vigun11g168500	2.61	0.33
Vigun11g183700	2.61	-2.07
Vigun06g225300	2.61	-1.23
Vigun05g270400	2.61	1.65
Vigun05g252700	2.61	0.55
Vigun05g286400	2.60	-0.33
Vigun08g108600	2.60	0.00
Vigun07g039900	2.60	0.03
Vigun06g221600	2.59	0.81
Vigun07g138400	2.58	0.11
Vigun03g448700	2.58	1.48
Vigun10g079100	2.57	1.13
Vigun05g224600	2.57	3.49
Vigun05g049000	2.57	0.33
Vigun10g122400	2.56	2.20
Vigun05g247000	2.56	0.67
Vigun08g218700	2.56	5.07
Vigun10g177100	2.56	-1.82
Vigun09g078100	2.54	0.49
Vigun04g109200	2.53	0.62
Vigun10g081000	2.52	0.97
Vigun06g087500	2.52	0.00
Vigun06g085800	2.52	-0.18
Vigun09g012400	2.52	-2.24
Vigun11g076700	2.50	-3.05
Vigun08g010100	2.50	0.97
Vigun07g036500	2.50	0.12
Vigun06g144900	2.48	-0.87
Vigun01g154700	2.47	0.41
Vigun06g127300	2.45	0.02
Vigun09g171700	2.45	0.56
Vigun05g093500	2.45	-1.33
Vigun07g221400	2.43	-0.25
Vigun05g254900	2.43	-1.38
Vigun11g192900	2.43	1.55
Vigun11g182900	2.43	-0.82
Vigun07g271600	2.43	2.17
Vigun05g068100	2.42	2.85
Vigun11g171500	2.42	-1.54
Vigun09g213900	2.42	0.55
Vigun01g202000	2.41	0.46
Vigun06g219300	2.41	-2.08
Vigun06g143400	2.40	-0.95
Vigun05g177100	2.39	1.76
Vigun10g110000	2.39	0.14
Vigun03g044200	2.39	2.24
Vigun09g213100	2.38	-0.05
Vigun09g212200	2.38	-2.15
Vigun04g167500	2.38	-1.59
Vigun01g079500	2.38	-0.33
Vigun09g184800	2.38	-0.01
Vigun06g192800	2.37	0.33
Vigun07g290200	2.35	-0.74
Vigun09g233800	2.35	-0.26
Vigun03g131200	2.33	2.49
Vigun04g063500	2.32	-0.34
Vigun01g094200	2.32	0.25
Vigun05g014000	2.32	-1.02
Vigun03g052900	2.32	-0.35
Vigun06g082700	2.32	1.57
Vigun06g093000	2.31	-0.11
Vigun05g148500	2.31	-0.86
Vigun05g121100	2.30	-0.88
Vigun07g154100	2.29	2.63
Vigun03g250400	2.29	-1.94
Vigun08g000800	2.28	-1.86
Vigun11g027300	2.27	0.21
Vigun10g018500	2.27	-0.33
Vigun05g058600	2.26	1.53
Vigun06g059600	2.26	-2.11
Vigun11g171400	2.26	0.18
Vigun06g219500	2.25	-1.78
Vigun09g132300	2.25	0.31
VigunL086400	2.24	0.93
Vigun03g006700	2.23	-0.38
Vigun03g317000	2.22	-0.61
Vigun02g179000	2.22	-0.46
Vigun10g067500	2.21	0.09
Vigun02g089300	2.20	1.32
Vigun04g072400	2.19	0.00
Vigun09g264700	2.18	-0.26
Vigun06g133500	2.18	1.77
Vigun02g019700	2.18	1.99
Vigun06g173300	2.17	0.05
Vigun04g028100	2.17	1.64
Vigun03g418000	2.16	1.84
Vigun02g127200	2.16	0.58
Vigun09g093900	2.16	-0.73
Vigun10g008500	2.15	0.11
Vigun07g260600	2.14	1.13
Vigun07g284700	2.14	-0.96
Vigun04g109900	2.14	1.62
Vigun01g094400	2.13	1.91
Vigun02g112300	2.13	2.43
Vigun10g056100	2.12	1.64
Vigun11g054300	2.12	-1.43
Vigun02g130800	2.12	0.82
Vigun05g008200	2.12	0.95
Vigun05g006100	2.12	1.36
Vigun07g219900	2.12	0.31
Vigun08g029900	2.12	-0.68
Vigun10g170800	2.11	1.05
Vigun04g102100	2.11	-0.61
Vigun07g272600	2.10	0.80
Vigun07g076800	2.10	0.59
Vigun09g070800	2.09	0.63
Vigun03g222500	2.09	0.40
Vigun08g104300	2.08	0.07
Vigun08g203700	2.08	1.12
Vigun09g067400	2.08	0.18
Vigun01g196800	2.07	0.45
Vigun01g059400	2.07	-1.26
Vigun09g186700	2.06	-0.79
Vigun11g158800	2.06	1.21
Vigun01g138000	2.05	-1.47
Vigun05g238700	2.05	1.07
Vigun03g034000	2.05	0.23
Vigun11g114300	2.05	4.88
Vigun10g009100	2.05	-0.11
Vigun03g136100	2.05	1.90
Vigun08g132200	2.05	0.31
Vigun03g316400	2.04	-0.20
Vigun09g074300	2.03	-1.98
Vigun08g020800	2.02	-1.88
Vigun03g337600	2.02	-0.53
Vigun01g218800	2.02	1.52
Vigun08g057100	2.01	-2.45
Vigun08g006700	2.01	0.18
Vigun10g073300	1.99	0.49
Vigun06g116100	1.98	1.07
Vigun03g335500	1.97	-0.08
Vigun03g316000	1.97	0.20
Vigun05g117300	1.96	-0.29
Vigun06g136600	1.93	0.81
Vigun11g163400	1.93	1.30
Vigun03g109600	1.93	-1.38
Vigun04g135400	1.91	3.22
Vigun02g180900	1.91	-1.12
Vigun03g290700	1.91	-2.07
Vigun11g074900	1.90	-0.93
Vigun01g175500	1.90	-0.03
Vigun07g066000	1.90	-1.49
Vigun07g274400	1.89	1.41
