taxa	In11_one_hr	six_hr
Vigun09g010900	NA	NA
Vigun09g011300	NA	NA
Vigun09g013100	NA	NA
Vigun09g014600	NA	NA
Vigun09g015400	NA	NA
Vigun09g016400	NA	NA
Vigun09g017300	NA	NA
Vigun09g017500	NA	NA
Vigun09g017600	NA	NA
Vigun09g018100	NA	NA
Vigun09g018700	NA	NA
Vigun09g019900	NA	NA
Vigun09g022000	NA	NA
Vigun09g022100	NA	NA
Vigun09g022400	NA	NA
Vigun09g023600	NA	NA
Vigun09g023700	NA	NA
Vigun09g023800	NA	NA
Vigun09g024100	NA	NA
Vigun09g024200	NA	NA
Vigun09g024300	NA	NA
Vigun09g024900	NA	NA
Vigun09g027800	NA	NA
Vigun09g028900	NA	NA
Vigun09g029200	NA	NA
Vigun09g029300	NA	NA
Vigun09g029400	NA	NA
Vigun09g029500	NA	NA
Vigun09g029600	NA	NA
Vigun09g029700	NA	NA
Vigun09g029800	NA	NA
Vigun09g029900	NA	NA
Vigun09g031000	NA	NA
Vigun09g031100	NA	NA
Vigun09g031800	NA	NA
Vigun09g033500	NA	NA
Vigun09g036700	NA	NA
Vigun09g036800	NA	NA
Vigun09g040400	NA	NA
Vigun09g041400	NA	NA
Vigun09g043000	NA	NA
Vigun09g043900	NA	NA
Vigun09g044200	NA	NA
Vigun09g044300	NA	NA
Vigun09g044600	NA	NA
Vigun09g046500	NA	NA
Vigun09g046900	NA	NA
Vigun09g047400	NA	NA
Vigun09g048400	NA	NA
Vigun09g049200	NA	NA
Vigun09g051900	NA	NA
Vigun09g052200	NA	NA
Vigun09g052700	NA	NA
Vigun09g053300	NA	NA
Vigun09g055300	NA	NA
Vigun09g056000	NA	NA
Vigun09g056800	NA	NA
Vigun09g059800	NA	NA
Vigun09g060900	NA	NA
Vigun09g061100	NA	NA
Vigun09g061700	NA	NA
Vigun09g062600	NA	NA
Vigun09g062700	NA	NA
Vigun09g064000	NA	NA
Vigun09g065900	NA	NA
Vigun09g066700	NA	NA
Vigun09g068200	NA	NA
Vigun09g069400	NA	NA
Vigun09g071100	NA	NA
Vigun09g072100	NA	NA
Vigun09g072200	NA	NA
Vigun09g072300	NA	NA
Vigun09g073700	NA	NA
Vigun09g074800	NA	NA
Vigun09g076500	NA	NA
Vigun09g076600	NA	NA
Vigun09g077200	NA	NA
Vigun09g078300	NA	NA
Vigun09g081700	NA	NA
Vigun09g082000	NA	NA
Vigun09g082100	NA	NA
Vigun09g083000	NA	NA
Vigun09g083400	NA	NA
Vigun09g083500	NA	NA
Vigun09g083800	NA	NA
Vigun09g084000	NA	NA
Vigun09g084700	NA	NA
Vigun09g085900	NA	NA
Vigun09g086900	NA	NA
Vigun09g087000	NA	NA
Vigun09g087300	NA	NA
Vigun09g088300	NA	NA
Vigun09g089300	NA	NA
Vigun09g089900	NA	NA
Vigun09g090000	NA	NA
Vigun09g090100	NA	NA
Vigun09g090200	NA	NA
Vigun09g090300	NA	NA
Vigun09g090400	NA	NA
Vigun09g090700	NA	NA
Vigun09g090800	NA	NA
Vigun09g090900	NA	NA
Vigun09g091300	NA	NA
Vigun09g091600	NA	NA
Vigun09g091700	NA	NA
Vigun09g091900	NA	NA
Vigun09g092000	NA	NA
Vigun09g092400	NA	NA
Vigun09g092600	NA	NA
Vigun09g092900	NA	NA
Vigun09g094100	NA	NA
Vigun09g094200	NA	NA
Vigun09g094300	NA	NA
Vigun09g095200	NA	NA
Vigun09g095300	NA	NA
Vigun09g095400	NA	NA
Vigun09g095500	NA	NA
Vigun09g095600	NA	NA
Vigun09g095900	NA	NA
Vigun09g098700	NA	NA
Vigun09g099100	NA	NA
Vigun09g101500	NA	NA
Vigun09g103000	NA	NA
Vigun09g103100	NA	NA
Vigun09g103300	NA	NA
Vigun09g103600	NA	NA
Vigun09g104000	NA	NA
Vigun09g104100	NA	NA
Vigun09g104200	NA	NA
Vigun09g104300	NA	NA
Vigun09g106200	NA	NA
Vigun09g106500	NA	NA
Vigun09g106600	NA	NA
Vigun09g106900	NA	NA
Vigun09g107000	NA	NA
Vigun09g107100	NA	NA
Vigun09g107200	NA	NA
Vigun09g107600	NA	NA
Vigun09g107700	NA	NA
Vigun09g108200	NA	NA
Vigun09g108600	NA	NA
Vigun09g109400	NA	NA
Vigun09g110300	NA	NA
Vigun09g111000	NA	NA
Vigun09g112200	NA	NA
Vigun09g113300	NA	NA
Vigun09g114000	NA	NA
Vigun09g115300	NA	NA
Vigun09g115400	NA	NA
Vigun09g115600	NA	NA
Vigun09g116400	NA	NA
Vigun09g116500	NA	NA
Vigun09g116600	NA	NA
Vigun09g116900	NA	NA
Vigun09g118100	NA	NA
Vigun09g118800	NA	NA
Vigun09g118900	NA	NA
Vigun09g119100	NA	NA
Vigun09g119200	NA	NA
Vigun09g119300	NA	NA
Vigun09g119400	NA	NA
Vigun09g119500	NA	NA
Vigun09g120500	NA	NA
Vigun09g121200	NA	NA
Vigun09g121400	NA	NA
Vigun09g126400	NA	NA
Vigun09g127700	NA	NA
Vigun09g127800	NA	NA
Vigun09g128300	NA	NA
Vigun09g130400	NA	NA
Vigun09g131600	NA	NA
Vigun09g131700	NA	NA
Vigun09g133000	NA	NA
Vigun09g133100	NA	NA
Vigun09g133200	NA	NA
Vigun09g133900	NA	NA
Vigun09g135300	NA	NA
Vigun09g136200	NA	NA
Vigun09g138900	NA	NA
Vigun09g139500	NA	NA
Vigun09g140100	NA	NA
Vigun09g144000	NA	NA
Vigun09g146300	NA	NA
Vigun09g146900	NA	NA
Vigun09g147800	NA	NA
Vigun09g147900	NA	NA
Vigun09g152400	NA	NA
Vigun09g152500	NA	NA
Vigun09g152700	NA	NA
Vigun09g153300	NA	NA
Vigun09g156300	NA	NA
Vigun09g156400	NA	NA
Vigun09g156500	NA	NA
Vigun09g156600	NA	NA
Vigun09g157300	NA	NA
Vigun09g157900	NA	NA
Vigun09g159500	NA	NA
Vigun09g159700	NA	NA
Vigun09g160100	NA	NA
Vigun09g161200	NA	NA
Vigun09g165200	NA	NA
Vigun09g167100	NA	NA
Vigun09g168800	NA	NA
Vigun09g169500	NA	NA
Vigun09g172100	NA	NA
Vigun09g172200	NA	NA
Vigun09g172300	NA	NA
Vigun09g172400	NA	NA
Vigun09g173100	NA	NA
Vigun09g173400	NA	NA
Vigun09g173500	NA	NA
Vigun09g173600	NA	NA
Vigun09g174800	NA	NA
Vigun09g175100	NA	NA
Vigun09g175900	NA	NA
Vigun09g176100	NA	NA
Vigun09g179800	NA	NA
Vigun09g184600	NA	NA
Vigun09g186300	NA	NA
Vigun09g186400	NA	NA
Vigun09g188900	NA	NA
Vigun09g190100	NA	NA
Vigun09g191200	NA	NA
Vigun09g193200	NA	NA
Vigun09g193400	NA	NA
Vigun09g199300	NA	NA
Vigun09g200900	NA	NA
Vigun09g201700	NA	NA
Vigun09g204900	NA	NA
Vigun09g205100	NA	NA
Vigun09g205200	NA	NA
Vigun09g205400	NA	NA
Vigun09g205500	NA	NA
Vigun09g205600	NA	NA
Vigun09g205700	NA	NA
Vigun09g205900	NA	NA
Vigun09g207400	NA	NA
Vigun09g207500	NA	NA
Vigun09g207700	NA	NA
Vigun09g208900	NA	NA
Vigun09g209000	NA	NA
Vigun09g209100	NA	NA
Vigun09g209200	NA	NA
Vigun09g209300	NA	NA
Vigun09g215400	NA	NA
Vigun09g217600	NA	NA
Vigun09g221000	NA	NA
Vigun09g221100	NA	NA
Vigun09g222800	NA	NA
Vigun09g225100	NA	NA
Vigun09g225300	NA	NA
Vigun09g225500	NA	NA
Vigun09g225600	NA	NA
Vigun09g227000	NA	NA
Vigun09g228200	NA	NA
Vigun09g229000	NA	NA
Vigun09g229100	NA	NA
Vigun09g229300	NA	NA
Vigun09g230200	NA	NA
Vigun09g232900	NA	NA
Vigun09g233200	NA	NA
Vigun09g233300	NA	NA
Vigun09g236500	NA	NA
Vigun09g237300	NA	NA
Vigun09g237700	NA	NA
Vigun09g239900	NA	NA
Vigun09g240000	NA	NA
Vigun09g240100	NA	NA
Vigun09g241400	NA	NA
Vigun09g241700	NA	NA
Vigun09g250200	NA	NA
Vigun09g250700	NA	NA
Vigun09g251600	NA	NA
Vigun09g253000	NA	NA
Vigun09g255000	NA	NA
Vigun09g262100	NA	NA
Vigun09g266300	NA	NA
Vigun09g266500	NA	NA
Vigun09g267500	NA	NA
Vigun09g271200	NA	NA
Vigun09g272000	NA	NA
Vigun09g272200	NA	NA
Vigun09g274200	NA	NA
Vigun09g274900	NA	NA
Vigun09g275000	NA	NA
Vigun09g275100	NA	NA
Vigun09g275300	NA	NA
Vigun09g275400	NA	NA
Vigun10g000600	NA	NA
Vigun10g000900	NA	NA
Vigun10g001000	NA	NA
Vigun10g001500	NA	NA
Vigun10g001600	NA	NA
Vigun10g004200	NA	NA
Vigun10g004300	NA	NA
Vigun10g004900	NA	NA
Vigun10g005300	NA	NA
Vigun10g006000	NA	NA
Vigun10g006200	NA	NA
Vigun10g006800	NA	NA
Vigun10g007800	NA	NA
Vigun10g008100	NA	NA
Vigun10g008700	NA	NA
Vigun10g008800	NA	NA
Vigun10g009300	NA	NA
Vigun10g010200	NA	NA
Vigun10g010300	NA	NA
Vigun10g010400	NA	NA
Vigun10g010500	NA	NA
Vigun10g010600	NA	NA
Vigun10g010700	NA	NA
Vigun10g011200	NA	NA
Vigun10g011500	NA	NA
Vigun10g011600	NA	NA
Vigun10g011700	NA	NA
Vigun10g011800	NA	NA
Vigun10g011900	NA	NA
Vigun10g012000	NA	NA
Vigun10g012100	NA	NA
Vigun10g012200	NA	NA
Vigun10g012300	NA	NA
Vigun10g012400	NA	NA
Vigun10g012500	NA	NA
Vigun10g012700	NA	NA
Vigun10g012800	NA	NA
Vigun10g015300	NA	NA
Vigun10g015400	NA	NA
Vigun10g015900	NA	NA
Vigun10g016500	NA	NA
Vigun10g016600	NA	NA
Vigun10g017000	NA	NA
Vigun10g017100	NA	NA
Vigun10g017700	NA	NA
Vigun10g017800	NA	NA
Vigun10g019000	NA	NA
Vigun10g020200	NA	NA
Vigun10g021300	NA	NA
Vigun10g023100	NA	NA
Vigun10g023200	NA	NA
Vigun10g023300	NA	NA
Vigun10g023400	NA	NA
Vigun10g023500	NA	NA
Vigun10g023700	NA	NA
Vigun10g023800	NA	NA
Vigun10g023900	NA	NA
Vigun10g024000	NA	NA
Vigun10g024100	NA	NA
Vigun10g024200	NA	NA
Vigun10g024300	NA	NA
Vigun10g024400	NA	NA
Vigun10g024500	NA	NA
Vigun10g024600	NA	NA
Vigun10g026100	NA	NA
Vigun10g026200	NA	NA
Vigun10g026300	NA	NA
Vigun10g026600	NA	NA
Vigun10g026700	NA	NA
Vigun10g026900	NA	NA
Vigun10g027000	NA	NA
Vigun10g027300	NA	NA
Vigun10g027400	NA	NA
Vigun10g028400	NA	NA
Vigun10g028500	NA	NA
Vigun10g029100	NA	NA
Vigun10g031800	NA	NA
Vigun10g031900	NA	NA
Vigun10g032500	NA	NA
Vigun10g032600	NA	NA
Vigun10g032700	NA	NA
Vigun10g032800	NA	NA
Vigun10g032900	NA	NA
Vigun10g033200	NA	NA
Vigun10g033500	NA	NA
Vigun10g033600	NA	NA
Vigun10g033700	NA	NA
Vigun10g034800	NA	NA
Vigun10g035700	NA	NA
Vigun10g035800	NA	NA
Vigun10g035900	NA	NA
Vigun10g036000	NA	NA
Vigun10g036300	NA	NA
Vigun10g036500	NA	NA
Vigun10g036600	NA	NA
Vigun10g036700	NA	NA
Vigun10g037900	NA	NA
Vigun10g038300	NA	NA
Vigun10g038400	NA	NA
Vigun10g038600	NA	NA
Vigun10g038700	NA	NA
Vigun10g038800	NA	NA
Vigun10g040200	NA	NA
Vigun10g040900	NA	NA
Vigun10g042200	NA	NA
Vigun10g043100	NA	NA
Vigun10g043200	NA	NA
Vigun10g043600	NA	NA
Vigun10g043700	NA	NA
Vigun10g043800	NA	NA
Vigun10g043900	NA	NA
Vigun10g044000	NA	NA
Vigun10g044100	NA	NA
Vigun10g044200	NA	NA
Vigun10g044300	NA	NA
Vigun10g044800	NA	NA
Vigun10g045100	NA	NA
Vigun10g045200	NA	NA
Vigun10g045800	NA	NA
Vigun10g046000	NA	NA
Vigun10g046100	NA	NA
Vigun10g046400	NA	NA
Vigun10g046500	NA	NA
Vigun10g046700	NA	NA
Vigun10g047000	NA	NA
Vigun10g048900	NA	NA
Vigun10g049500	NA	NA
Vigun10g049600	NA	NA
Vigun10g051000	NA	NA
Vigun10g051100	NA	NA
Vigun10g051200	NA	NA
Vigun10g051300	NA	NA
Vigun10g051400	NA	NA
Vigun10g051900	NA	NA
Vigun10g052400	NA	NA
Vigun10g053400	NA	NA
Vigun10g053500	NA	NA
Vigun10g053600	NA	NA
Vigun10g053700	NA	NA
Vigun10g053800	NA	NA
Vigun10g054000	NA	NA
Vigun10g054400	NA	NA
Vigun10g054800	NA	NA
Vigun10g054900	NA	NA
Vigun10g055100	NA	NA
Vigun10g055200	NA	NA
Vigun10g055400	NA	NA
Vigun10g055700	NA	NA
Vigun10g055800	NA	NA
Vigun10g055900	NA	NA
Vigun10g056200	NA	NA
Vigun10g057000	NA	NA
Vigun10g057100	NA	NA
Vigun10g057200	NA	NA
Vigun10g057300	NA	NA
Vigun10g057400	NA	NA
Vigun10g057500	NA	NA
Vigun10g058100	NA	NA
Vigun10g058200	NA	NA
Vigun10g058600	NA	NA
Vigun10g058800	NA	NA
Vigun10g059400	NA	NA
Vigun10g059500	NA	NA
Vigun10g059600	NA	NA
Vigun10g060800	NA	NA
Vigun10g062600	NA	NA
Vigun10g062700	NA	NA
Vigun10g062800	NA	NA
Vigun10g062900	NA	NA
Vigun10g063600	NA	NA
Vigun10g065300	NA	NA
Vigun10g065400	NA	NA
Vigun10g065700	NA	NA
Vigun10g065900	NA	NA
Vigun10g066200	NA	NA
Vigun10g067600	NA	NA
Vigun10g068000	NA	NA
Vigun10g068100	NA	NA
Vigun10g068200	NA	NA
Vigun10g068400	NA	NA
Vigun10g068600	NA	NA
Vigun10g068900	NA	NA
Vigun10g069000	NA	NA
Vigun10g069100	NA	NA
Vigun10g070100	NA	NA
Vigun10g070200	NA	NA
Vigun10g071000	NA	NA
Vigun10g071100	NA	NA
Vigun10g071900	NA	NA
Vigun10g072000	NA	NA
Vigun10g072500	NA	NA
Vigun10g072600	NA	NA
Vigun10g073200	NA	NA
Vigun10g073500	NA	NA
Vigun10g073600	NA	NA
Vigun10g073800	NA	NA
Vigun10g073900	NA	NA
Vigun10g074600	NA	NA
Vigun10g075000	NA	NA
Vigun10g075100	NA	NA
Vigun10g075500	NA	NA
Vigun10g075600	NA	NA
Vigun10g075700	NA	NA
Vigun10g076100	NA	NA
Vigun10g076200	NA	NA
Vigun10g076500	NA	NA
Vigun10g076800	NA	NA
Vigun10g076900	NA	NA
Vigun10g077300	NA	NA
Vigun10g077400	NA	NA
Vigun10g077700	NA	NA
Vigun10g077900	NA	NA
Vigun10g078000	NA	NA
Vigun10g078100	NA	NA
Vigun10g078300	NA	NA
Vigun10g082200	NA	NA
Vigun10g082500	NA	NA
Vigun10g082600	NA	NA
Vigun10g083900	NA	NA
Vigun10g084500	NA	NA
Vigun10g084600	NA	NA
Vigun10g084900	NA	NA
Vigun10g085000	NA	NA
Vigun10g085400	NA	NA
Vigun10g085700	NA	NA
Vigun10g086000	NA	NA
Vigun10g086400	NA	NA
Vigun10g086500	NA	NA
Vigun10g086600	NA	NA
Vigun10g086700	NA	NA
Vigun10g086800	NA	NA
Vigun10g087300	NA	NA
Vigun10g087700	NA	NA
Vigun10g088000	NA	NA
Vigun10g088700	NA	NA
Vigun10g089800	NA	NA
Vigun10g089900	NA	NA
Vigun10g090000	NA	NA
Vigun10g090300	NA	NA
Vigun10g090900	NA	NA
Vigun10g091200	NA	NA
Vigun10g091400	NA	NA
Vigun10g091900	NA	NA
Vigun10g092500	NA	NA
Vigun10g092900	NA	NA
Vigun10g093000	NA	NA
Vigun10g093100	NA	NA
Vigun10g093300	NA	NA
Vigun10g093800	NA	NA
Vigun10g094000	NA	NA
Vigun10g094300	NA	NA
Vigun10g094400	NA	NA
Vigun10g094500	NA	NA
Vigun10g094600	NA	NA
Vigun10g094900	NA	NA
Vigun10g095000	NA	NA
Vigun10g095100	NA	NA
Vigun10g095600	NA	NA
Vigun10g096100	NA	NA
Vigun10g096300	NA	NA
Vigun10g096400	NA	NA
Vigun10g096600	NA	NA
Vigun10g096800	NA	NA
Vigun10g096900	NA	NA
Vigun10g097800	NA	NA
Vigun10g097900	NA	NA
Vigun10g098800	NA	NA
Vigun10g099500	NA	NA
Vigun10g099600	NA	NA
Vigun10g099800	NA	NA
Vigun10g101300	NA	NA
Vigun10g101400	NA	NA
Vigun10g101500	NA	NA
Vigun10g101700	NA	NA
Vigun10g101900	NA	NA
Vigun10g102200	NA	NA
Vigun10g102400	NA	NA
Vigun10g102600	NA	NA
Vigun10g102800	NA	NA
Vigun10g103900	NA	NA
Vigun10g104100	NA	NA
Vigun10g104600	NA	NA
Vigun10g104700	NA	NA
Vigun10g104900	NA	NA
Vigun10g105000	NA	NA
Vigun10g105100	NA	NA
Vigun10g106500	NA	NA
Vigun10g106800	NA	NA
Vigun10g106900	NA	NA
Vigun10g107100	NA	NA
Vigun10g107200	NA	NA
Vigun10g107300	NA	NA
Vigun10g107400	NA	NA
Vigun10g107500	NA	NA
Vigun10g107600	NA	NA
Vigun10g107700	NA	NA
Vigun10g107800	NA	NA
Vigun10g108000	NA	NA
Vigun10g108100	NA	NA
Vigun10g108200	NA	NA
Vigun10g108300	NA	NA
Vigun10g110200	NA	NA
Vigun10g112100	NA	NA
Vigun10g112700	NA	NA
Vigun10g112800	NA	NA
Vigun10g112900	NA	NA
Vigun10g113500	NA	NA
Vigun10g114800	NA	NA
Vigun10g114900	NA	NA
Vigun10g116700	NA	NA
Vigun10g117300	NA	NA
Vigun10g117800	NA	NA
Vigun10g118100	NA	NA
Vigun10g121400	NA	NA
Vigun10g122900	NA	NA
Vigun10g123000	NA	NA
Vigun10g123300	NA	NA
Vigun10g124800	NA	NA
Vigun10g124900	NA	NA
Vigun10g125200	NA	NA
Vigun10g125600	NA	NA
Vigun10g125700	NA	NA
Vigun10g127000	NA	NA
Vigun10g127400	NA	NA
Vigun10g128800	NA	NA
Vigun10g129400	NA	NA
Vigun10g129700	NA	NA
Vigun10g132500	NA	NA
Vigun10g132700	NA	NA
Vigun10g133000	NA	NA
Vigun10g133800	NA	NA
Vigun10g134100	NA	NA
Vigun10g134200	NA	NA
Vigun10g135100	NA	NA
Vigun10g135200	NA	NA
Vigun10g136500	NA	NA
Vigun10g136700	NA	NA
Vigun10g136800	NA	NA
Vigun10g137100	NA	NA
Vigun10g137300	NA	NA
Vigun10g138200	NA	NA
Vigun10g139600	NA	NA
Vigun10g140000	NA	NA
Vigun10g140100	NA	NA
Vigun10g141300	NA	NA
Vigun10g147600	NA	NA
Vigun10g149800	NA	NA
Vigun10g149900	NA	NA
Vigun10g150000	NA	NA
Vigun10g153100	NA	NA
Vigun10g153900	NA	NA
Vigun10g154000	NA	NA
Vigun10g154100	NA	NA
Vigun10g154200	NA	NA
Vigun10g154300	NA	NA
Vigun10g154400	NA	NA
Vigun10g154500	NA	NA
Vigun10g155800	NA	NA
Vigun10g157100	NA	NA
Vigun10g158400	NA	NA
Vigun10g158500	NA	NA
Vigun10g158600	NA	NA
Vigun10g158800	NA	NA
Vigun10g159000	NA	NA
Vigun10g159600	NA	NA
Vigun10g160300	NA	NA
Vigun10g160700	NA	NA
Vigun10g162900	NA	NA
Vigun10g164200	NA	NA
Vigun10g164300	NA	NA
Vigun10g164400	NA	NA
Vigun10g164500	NA	NA
Vigun10g164600	NA	NA
Vigun10g164700	NA	NA
Vigun10g165300	NA	NA
Vigun10g166200	NA	NA
Vigun10g168000	NA	NA
Vigun10g168100	NA	NA
Vigun10g168300	NA	NA
Vigun10g168400	NA	NA
Vigun10g169000	NA	NA
Vigun10g169100	NA	NA
Vigun10g169200	NA	NA
Vigun10g169300	NA	NA
Vigun10g169400	NA	NA
Vigun10g169500	NA	NA
Vigun10g169600	NA	NA
Vigun10g169700	NA	NA
Vigun10g170400	NA	NA
Vigun10g173000	NA	NA
Vigun10g173200	NA	NA
Vigun10g175100	NA	NA
Vigun10g178200	NA	NA
Vigun10g178500	NA	NA
Vigun10g178900	NA	NA
Vigun10g181300	NA	NA
Vigun10g184400	NA	NA
Vigun10g184900	NA	NA
Vigun10g185700	NA	NA
Vigun10g186700	NA	NA
Vigun10g186900	NA	NA
Vigun10g190200	NA	NA
Vigun10g192800	NA	NA
Vigun10g192900	NA	NA
Vigun10g193000	NA	NA
Vigun10g193400	NA	NA
Vigun10g200600	NA	NA
Vigun11g000100	NA	NA
Vigun11g001700	NA	NA
Vigun11g004300	NA	NA
Vigun11g004400	NA	NA
Vigun11g004800	NA	NA
Vigun11g004900	NA	NA
Vigun11g006600	NA	NA
Vigun11g006800	NA	NA
Vigun11g006900	NA	NA
Vigun11g007000	NA	NA
Vigun11g007100	NA	NA
Vigun11g007300	NA	NA
Vigun11g008100	NA	NA
Vigun11g008200	NA	NA
Vigun11g008300	NA	NA
Vigun11g008400	NA	NA
Vigun11g008500	NA	NA
Vigun11g008600	NA	NA
Vigun11g008700	NA	NA
Vigun11g008800	NA	NA
Vigun11g009300	NA	NA
Vigun11g011600	NA	NA
Vigun11g011700	NA	NA
Vigun11g011800	NA	NA
Vigun11g011900	NA	NA
Vigun11g012200	NA	NA
Vigun11g013500	NA	NA
Vigun11g013600	NA	NA
Vigun11g013800	NA	NA
Vigun11g015200	NA	NA
Vigun11g015400	NA	NA
Vigun11g015700	NA	NA
Vigun11g015900	NA	NA
Vigun11g016000	NA	NA
Vigun11g016100	NA	NA
Vigun11g016200	NA	NA
Vigun11g016300	NA	NA
Vigun11g016400	NA	NA
Vigun11g016500	NA	NA
Vigun11g016800	NA	NA
Vigun11g016900	NA	NA
Vigun11g017000	NA	NA
Vigun11g017200	NA	NA
Vigun11g017600	NA	NA
Vigun11g017800	NA	NA
Vigun11g018200	NA	NA
Vigun11g018300	NA	NA
Vigun11g018700	NA	NA
Vigun11g019400	NA	NA
Vigun11g019900	NA	NA
Vigun11g020500	NA	NA
Vigun11g022300	NA	NA
Vigun11g022500	NA	NA
Vigun11g023200	NA	NA
Vigun11g023400	NA	NA
Vigun11g024200	NA	NA
Vigun11g025100	NA	NA
Vigun11g025200	NA	NA
Vigun11g025500	NA	NA
Vigun11g025600	NA	NA
Vigun11g026000	NA	NA
Vigun11g027500	NA	NA
Vigun11g027900	NA	NA
Vigun11g028000	NA	NA
Vigun11g028200	NA	NA
Vigun11g028300	NA	NA
Vigun11g028400	NA	NA
Vigun11g028500	NA	NA
Vigun11g028600	NA	NA
Vigun11g028700	NA	NA
Vigun11g028800	NA	NA
Vigun11g028900	NA	NA
Vigun11g029000	NA	NA
Vigun11g030100	NA	NA
Vigun11g030600	NA	NA
Vigun11g031200	NA	NA
Vigun11g031600	NA	NA
Vigun11g031700	NA	NA
Vigun11g031800	NA	NA
Vigun11g031900	NA	NA
Vigun11g032200	NA	NA
Vigun11g032300	NA	NA
Vigun11g032500	NA	NA
Vigun11g032700	NA	NA
Vigun11g034200	NA	NA
Vigun11g035400	NA	NA
Vigun11g035500	NA	NA
Vigun11g035700	NA	NA
Vigun11g036300	NA	NA
Vigun11g036700	NA	NA
Vigun11g037900	NA	NA
Vigun11g038300	NA	NA
Vigun11g038700	NA	NA
Vigun11g038800	NA	NA
Vigun11g040000	NA	NA
Vigun11g040400	NA	NA
Vigun11g041700	NA	NA
Vigun11g041900	NA	NA
Vigun11g042400	NA	NA
Vigun11g044100	NA	NA
Vigun11g045400	NA	NA
Vigun11g046100	NA	NA
Vigun11g046200	NA	NA
Vigun11g046400	NA	NA
Vigun11g046500	NA	NA
Vigun11g046600	NA	NA
Vigun11g046700	NA	NA
Vigun11g046800	NA	NA
Vigun11g046900	NA	NA
Vigun11g047000	NA	NA
Vigun11g047200	NA	NA
Vigun11g047800	NA	NA
Vigun11g047900	NA	NA
Vigun11g048200	NA	NA
Vigun11g048600	NA	NA
Vigun11g048700	NA	NA
Vigun11g048800	NA	NA
Vigun11g048900	NA	NA
Vigun11g049000	NA	NA
Vigun11g049300	NA	NA
Vigun11g050400	NA	NA
Vigun11g050500	NA	NA
Vigun11g050900	NA	NA
Vigun11g051400	NA	NA
Vigun11g052700	NA	NA
Vigun11g052800	NA	NA
Vigun11g053500	NA	NA
Vigun11g053600	NA	NA
Vigun11g053800	NA	NA
Vigun11g053900	NA	NA
Vigun11g054700	NA	NA
Vigun11g055100	NA	NA
Vigun11g055200	NA	NA
Vigun11g055800	NA	NA
Vigun11g056800	NA	NA
Vigun11g057300	NA	NA
Vigun11g057500	NA	NA
Vigun11g058200	NA	NA
Vigun11g058300	NA	NA
Vigun11g058500	NA	NA
Vigun11g059600	NA	NA
Vigun11g060200	NA	NA
Vigun11g061800	NA	NA
Vigun11g061900	NA	NA
Vigun11g062000	NA	NA
Vigun11g062100	NA	NA
Vigun11g062300	NA	NA
Vigun11g062500	NA	NA
Vigun11g062600	NA	NA
Vigun11g062700	NA	NA
Vigun11g062800	NA	NA
Vigun11g062900	NA	NA
Vigun11g063000	NA	NA
Vigun11g063200	NA	NA
Vigun11g063300	NA	NA
Vigun11g063800	NA	NA
Vigun11g063900	NA	NA
Vigun11g064400	NA	NA
Vigun11g064500	NA	NA
Vigun11g064600	NA	NA
Vigun11g064700	NA	NA
Vigun11g064800	NA	NA
Vigun11g064900	NA	NA
Vigun11g065200	NA	NA
Vigun11g065300	NA	NA
Vigun11g065400	NA	NA
Vigun11g065500	NA	NA
Vigun11g065900	NA	NA
Vigun11g066400	NA	NA
Vigun11g067100	NA	NA
Vigun11g067200	NA	NA
Vigun11g067400	NA	NA
Vigun11g067600	NA	NA
Vigun11g067900	NA	NA
Vigun11g068200	NA	NA
Vigun11g068600	NA	NA
Vigun11g068700	NA	NA
Vigun11g068800	NA	NA
Vigun11g068900	NA	NA
Vigun11g069300	NA	NA
Vigun11g070000	NA	NA
Vigun11g070300	NA	NA
Vigun11g070400	NA	NA
Vigun11g070700	NA	NA
Vigun11g070800	NA	NA
Vigun11g071000	NA	NA
Vigun11g071200	NA	NA
Vigun11g071400	NA	NA
Vigun11g071900	NA	NA
Vigun11g072000	NA	NA
Vigun11g072700	NA	NA
Vigun11g073300	NA	NA
Vigun11g073800	NA	NA
Vigun11g074000	NA	NA
Vigun11g074600	NA	NA
Vigun11g075100	NA	NA
Vigun11g075200	NA	NA
Vigun11g075300	NA	NA
Vigun11g075400	NA	NA
Vigun11g075500	NA	NA
Vigun11g075600	NA	NA
Vigun11g075700	NA	NA
Vigun11g075800	NA	NA
Vigun11g075900	NA	NA
Vigun11g076000	NA	NA
Vigun11g076300	NA	NA
Vigun11g076900	NA	NA
Vigun11g077000	NA	NA
Vigun11g077800	NA	NA
Vigun11g078300	NA	NA
Vigun11g079600	NA	NA
Vigun11g080000	NA	NA
Vigun11g080100	NA	NA
Vigun11g082000	NA	NA
Vigun11g082100	NA	NA
Vigun11g082200	NA	NA
Vigun11g082700	NA	NA
Vigun11g083000	NA	NA
Vigun11g083300	NA	NA
Vigun11g083400	NA	NA
Vigun11g083800	NA	NA
Vigun11g083900	NA	NA
Vigun11g084000	NA	NA
Vigun11g084300	NA	NA
Vigun11g084400	NA	NA
Vigun11g084800	NA	NA
Vigun11g085200	NA	NA
Vigun11g085700	NA	NA
Vigun11g085800	NA	NA
Vigun11g086500	NA	NA
Vigun11g087100	NA	NA
Vigun11g087800	NA	NA
Vigun11g088500	NA	NA
Vigun11g088800	NA	NA
Vigun11g089300	NA	NA
Vigun11g089400	NA	NA
Vigun11g089700	NA	NA
