taxa	NGP_WH_1h_l2FC	NGP_InH_1h_l2FC	NGP_flg22H_1h_l2FC	NGP_WH_6h_l2FC	NGP_InH_6h_l2FC	NGP_flg22H_6h_l2FC
Vigun08g146900	-0.61	-0.46	0.28	1.06	1.22	-0.01
Vigun06g056100	-0.68	-0.54	0.28	-0.28	-0.15	0.21
Vigun08g000600	-0.14	0.09	0.28	0.32	0.64	0.24
Vigun11g142800	-0.16	0.15	0.28	1.10	1.38	0.05
Vigun10g196400	2.00	1.72	0.28	-0.98	-1.24	-0.42
Vigun01g195400	-0.82	0.66	0.28	0.10	-0.56	-0.74
Vigun11g131600	0.55	0.67	0.28	2.30	2.86	0.26
Vigun09g259700	-0.89	-0.75	0.28	-1.71	-1.78	-0.12
Vigun06g173700	-0.69	-0.51	0.28	0.32	0.82	0.27
Vigun02g203800	0.50	0.85	0.28	0.87	1.33	0.22
Vigun10g087500	-0.52	-0.26	0.28	0.38	0.82	0.14
Vigun05g064800	1.15	1.50	0.28	0.97	1.65	0.54
Vigun02g085600	-1.59	-1.60	0.28	-1.26	-1.02	-0.09
Vigun09g024900	5.28	4.99	0.28	2.64	1.73	0.26
Vigun03g356600	0.69	1.07	0.28	0.83	1.24	0.30
Vigun09g056300	4.53	5.01	0.28	3.23	3.46	0.54
Vigun11g118000	0.06	0.32	0.28	1.18	1.74	0.21
Vigun05g169800	-0.07	0.25	0.28	-0.02	0.22	0.16
Vigun10g085600	0.57	0.75	0.28	-0.46	-0.77	0.11
Vigun08g113000	0.59	0.74	0.28	-0.16	0.40	0.65
Vigun03g082800	2.55	2.92	0.28	0.66	1.37	1.18
Vigun02g080700	-0.98	-1.17	0.28	-0.25	-0.52	-0.01
Vigun01g083400	0.11	0.70	0.28	0.06	0.28	0.35
Vigun08g158300	-0.40	-0.21	0.28	-1.45	-1.79	-0.33
Vigun05g285000	-0.41	-0.31	0.28	1.60	1.69	-0.02
Vigun03g157000	-0.33	-0.12	0.28	1.80	2.08	0.11
Vigun06g093800	-0.77	-0.50	0.28	-0.49	-0.24	-0.02
Vigun11g108800	0.79	1.05	0.28	1.05	1.48	0.29
Vigun05g005200	0.04	0.26	0.28	-0.03	0.48	0.41
Vigun03g016200	-0.24	0.03	0.28	0.48	0.97	0.11
Vigun03g236900	-0.28	0.04	0.28	-0.46	-0.26	-0.28
Vigun01g188400	-0.46	-0.32	0.28	-0.05	0.27	0.18
Vigun02g067800	-0.74	-0.41	0.28	0.15	0.44	0.01
Vigun09g124300	0.14	1.03	0.28	0.49	0.80	-0.44
Vigun05g030700	2.73	3.06	0.28	2.75	3.38	0.50
Vigun01g152600	-0.40	-0.14	0.28	-1.57	-1.52	0.33
Vigun03g048800	-0.48	-0.35	0.28	-0.21	0.02	0.15
Vigun01g204400	0.26	0.50	0.28	0.01	0.55	0.27
Vigun11g103500	0.48	0.95	0.28	1.71	1.67	-0.05
Vigun05g068700	0.77	1.11	0.28	-1.22	-1.59	0.46
Vigun06g111700	-0.34	-0.14	0.28	0.12	0.40	0.16
Vigun05g199100	0.74	1.25	0.28	0.10	0.30	-0.38
Vigun11g068051	-0.88	-0.57	0.28	0.69	0.77	-0.07
Vigun03g108200	-0.74	-0.41	0.28	0.00	0.31	0.03
Vigun06g070300	-0.79	-0.52	0.28	-0.18	0.10	0.22
Vigun10g130900	-0.45	-0.59	0.28	0.74	0.11	-0.39
Vigun09g178600	1.50	1.56	0.28	1.85	2.16	0.37
Vigun02g075800	-0.03	0.23	0.28	0.44	0.87	0.32
Vigun11g208900	-0.53	-0.35	0.28	-1.54	-1.64	-0.18
Vigun11g186300	2.40	2.75	0.28	0.64	-0.16	-0.08
Vigun03g337700	-0.57	-0.31	0.28	0.16	0.34	0.09
Vigun05g268500	-0.74	-0.66	0.28	0.45	0.84	-0.10
Vigun08g054800	-0.04	0.09	0.28	-0.23	-0.55	-0.39
Vigun11g192500	-0.13	0.14	0.28	-0.03	0.38	0.35
Vigun09g031400	-0.38	-0.39	0.28	1.63	1.28	0.13
Vigun07g029800	-0.62	-0.48	0.28	-0.02	0.40	0.27
Vigun04g197000	-0.38	-0.20	0.28	-0.09	0.35	0.30
Vigun09g100700	3.09	3.35	0.28	1.31	2.17	1.00
Vigun09g141300	1.05	1.45	0.28	0.74	0.89	0.15
Vigun02g009100	-0.25	-0.09	0.28	0.57	1.15	0.42
Vigun07g179700	-0.14	0.13	0.28	0.07	0.47	0.36
Vigun11g145100	-0.36	-0.86	0.28	0.91	0.70	0.27
Vigun02g158700	-0.11	0.05	0.28	0.62	0.51	0.00
Vigun07g183400	-0.32	-0.10	0.28	0.11	0.49	0.18
Vigun04g058500	0.13	0.26	0.28	0.21	0.75	0.48
Vigun01g092100	0.35	0.64	0.28	1.63	1.82	0.04
Vigun01g026000	-1.14	-1.00	0.28	0.18	-0.40	-0.31
Vigun09g194700	-0.41	-0.19	0.28	0.66	1.09	0.37
Vigun01g040500	0.03	0.34	0.28	1.00	1.63	0.42
Vigun06g208800	-0.37	-0.16	0.28	-0.98	-1.31	-0.44
Vigun07g239300	1.11	1.29	0.28	0.79	1.12	0.29
Vigun03g425600	0.47	0.84	0.28	1.08	1.67	0.34
Vigun04g195000	3.68	4.39	0.28	-0.60	0.03	-0.26
Vigun05g034700	-0.23	-0.04	0.28	0.09	0.53	0.35
Vigun03g446700	-0.25	0.05	0.28	1.30	1.68	0.16
Vigun07g081500	-0.03	-0.35	0.28	-0.68	-0.86	-0.23
Vigun02g184200	-0.24	-0.05	0.28	0.65	0.81	-0.25
Vigun04g148600	1.40	1.77	0.28	1.52	1.99	-0.06
Vigun01g153900	0.87	1.09	0.28	1.31	1.72	0.30
Vigun05g128800	0.25	0.46	0.28	1.34	1.79	0.31
Vigun07g031000	-1.91	-1.84	0.28	-1.16	-1.23	0.01
Vigun03g202900	-0.79	-0.59	0.28	0.62	0.28	-0.31
Vigun03g271800	-0.29	-0.04	0.28	1.23	1.34	0.09
Vigun07g030900	-0.63	-0.53	0.28	0.02	0.29	0.26
Vigun07g089500	-0.10	0.24	0.28	1.02	1.43	0.22
Vigun09g047300	-0.06	0.21	0.28	0.38	0.77	0.33
Vigun03g331600	-0.47	-0.30	0.28	-1.01	-0.74	0.31
Vigun05g062300	1.53	2.45	0.28	1.89	1.35	-0.03
Vigun06g062700	2.36	2.68	0.28	2.08	2.83	0.68
Vigun08g216000	0.29	0.50	0.28	1.01	1.53	0.27
Vigun05g061300	-0.51	-0.32	0.28	-0.23	0.26	0.35
Vigun11g005200	-0.15	0.16	0.28	0.14	0.34	0.10
Vigun02g188400	-0.42	-0.17	0.28	1.22	1.34	-0.31
Vigun11g144200	0.17	0.94	0.28	-0.04	0.25	-0.18
Vigun02g095200	3.17	3.47	0.28	0.78	1.02	0.50
Vigun07g026900	0.53	0.58	0.28	-0.94	-0.49	0.38
Vigun05g257700	0.13	0.34	0.28	-0.56	-1.18	-0.39
Vigun02g129500	-1.06	-0.93	0.28	-0.24	0.11	0.05
Vigun07g048700	0.45	-0.26	0.28	-1.85	-1.84	-1.87
Vigun11g124800	2.91	3.96	0.27	2.36	2.76	0.41
Vigun03g058200	-0.13	0.01	0.27	-0.37	-0.07	0.35
Vigun06g092600	-0.42	-0.28	0.27	0.17	0.33	0.03
Vigun09g271700	-3.47	-3.15	0.27	-2.99	-4.49	-0.82
Vigun09g078900	-1.10	-1.09	0.27	-1.16	-1.83	-0.16
Vigun10g094800	1.76	2.04	0.27	3.09	3.10	-0.07
Vigun09g079600	-0.09	0.21	0.27	0.93	1.27	0.26
Vigun05g201700	2.22	2.56	0.27	-1.85	-1.67	-0.10
Vigun09g160800	0.00	0.31	0.27	0.50	1.31	-0.09
Vigun08g046300	-0.97	-1.26	0.27	-4.17	-4.26	1.13
Vigun03g326300	-1.31	-1.23	0.27	-1.76	-2.02	-0.08
Vigun09g090500	-0.34	-0.26	0.27	0.16	0.89	0.47
Vigun07g137100	-1.04	-1.69	0.27	-2.42	-3.44	-0.66
Vigun03g170300	-0.51	-0.21	0.27	-0.06	0.31	0.28
Vigun10g036550	-0.20	0.00	0.27	-0.73	-1.72	-0.32
Vigun04g131900	-0.54	-0.34	0.27	0.08	0.15	0.10
Vigun10g093600	0.37	0.22	0.27	0.50	-0.28	-1.02
Vigun09g049100	-1.62	-1.59	0.27	-2.34	-3.04	0.02
Vigun03g091300	-0.03	0.30	0.27	-0.23	-0.07	0.04
Vigun03g204600	0.11	0.53	0.27	1.22	1.51	0.22
Vigun03g259900	-0.10	0.18	0.27	2.06	2.20	0.00
Vigun09g011800	-0.07	0.21	0.27	0.67	1.21	0.20
Vigun06g207500	-0.03	0.19	0.27	0.92	1.31	0.34
Vigun09g066200	-0.27	-0.04	0.27	-0.18	0.26	0.40
Vigun08g010700	0.35	0.82	0.27	-0.65	-1.67	-0.75
Vigun06g157200	0.53	0.99	0.27	1.99	2.31	0.06
Vigun07g283700	-0.80	-0.84	0.27	0.00	0.43	0.29
Vigun08g178733	4.77	5.25	0.27	5.03	6.82	-0.19
Vigun02g146800	-0.40	-0.40	0.27	-0.67	-0.70	0.01
Vigun06g115800	-0.99	-1.08	0.27	-2.49	-2.69	-2.72
Vigun03g035300	-0.34	-0.01	0.27	-1.42	-2.33	-0.71
Vigun02g193400	0.26	0.61	0.27	-0.12	0.36	0.53
Vigun03g260300	-0.42	-0.19	0.27	0.03	0.40	0.32
Vigun02g183300	0.11	0.42	0.27	0.75	1.29	0.32
Vigun05g221700	0.15	0.22	0.27	1.07	1.25	-0.06
Vigun05g218700	-0.52	-0.46	0.27	0.70	1.01	0.12
Vigun03g080100	0.31	0.65	0.27	1.10	1.49	0.27
Vigun05g297600	-0.47	-0.04	0.27	-0.52	-0.71	-0.07
Vigun06g142600	-0.77	-0.54	0.27	-0.13	-0.04	0.06
Vigun06g028200	-0.87	-0.82	0.27	1.61	2.57	0.42
Vigun04g045700	5.72	7.21	0.27	4.73	5.28	0.31
Vigun01g184150	0.03	0.40	0.27	1.27	1.66	0.16
Vigun10g013000	-0.20	0.03	0.27	0.13	0.60	0.34
Vigun09g216500	-0.31	0.00	0.27	0.77	0.96	0.30
VigunL059055	0.78	1.08	0.27	0.06	-0.21	0.22
Vigun09g074700	-0.36	-0.15	0.27	1.61	1.73	0.03
Vigun05g216300	0.14	0.40	0.27	0.15	0.60	0.32
Vigun02g048400	-0.22	0.24	0.27	0.72	1.53	0.49
Vigun01g120200	-0.01	-0.14	0.27	-0.16	-0.02	-0.01
Vigun03g078900	-0.35	-0.31	0.27	1.41	1.58	-0.04
Vigun06g100100	0.57	0.91	0.27	0.59	0.17	-0.08
Vigun02g185700	-0.81	-0.56	0.27	0.45	0.59	0.04
Vigun02g181700	2.83	2.64	0.27	1.42	3.33	2.25
Vigun01g036900	4.55	4.89	0.27	3.17	3.74	0.25
Vigun03g416900	0.12	0.41	0.27	0.46	0.80	0.22
Vigun05g051100	0.80	1.24	0.27	1.53	1.92	0.15
Vigun01g024500	-0.23	-0.24	0.27	-1.55	-1.93	0.04
Vigun01g091300	1.91	2.34	0.27	0.72	0.47	0.34
Vigun09g259100	0.75	1.01	0.27	-0.51	-0.39	-0.24
Vigun07g225600	-1.68	-1.84	0.27	-0.59	-0.48	0.32
Vigun10g015700	-0.39	-0.23	0.27	-0.03	0.33	0.16
Vigun03g098200	0.45	0.18	0.27	0.08	0.60	0.49
Vigun05g301100	-0.81	-0.69	0.27	0.55	0.96	0.34
Vigun09g202300	-0.30	-0.06	0.27	2.34	2.73	0.14
Vigun04g073300	-0.18	0.08	0.27	0.77	1.05	0.23
Vigun09g239100	2.46	2.60	0.27	0.55	0.55	-0.06
Vigun03g366600	-0.22	-0.01	0.27	1.30	1.39	0.12
Vigun11g193300	0.58	0.20	0.27	-0.10	-0.61	-0.74
Vigun04g129200	-2.82	-1.88	0.27	-2.70	-4.42	-1.37
Vigun03g349500	5.07	5.59	0.27	3.65	3.98	0.66
Vigun05g083500	-0.50	0.00	0.27	-0.86	0.06	0.78
Vigun08g138500	1.41	1.65	0.27	2.15	1.08	-0.98
Vigun10g039400	-0.49	-0.23	0.27	-0.45	-0.17	0.49
Vigun05g014600	0.50	1.21	0.27	-0.19	0.09	0.09
Vigun01g248500	-0.19	0.08	0.27	1.01	1.47	0.06
Vigun01g157400	0.12	0.61	0.27	-0.15	0.22	-0.05
Vigun01g036200	-0.33	-0.10	0.27	0.03	0.20	-0.03
Vigun03g437700	-0.06	0.44	0.27	0.59	0.64	0.36
Vigun03g281800	-0.71	-0.59	0.27	-1.14	-1.02	0.12
Vigun08g101200	0.72	1.39	0.27	-1.09	-2.79	-0.05
Vigun03g408100	-0.32	-0.20	0.27	-0.50	0.41	0.30
Vigun11g045700	-0.06	0.03	0.27	-0.26	0.15	0.29
Vigun11g086600	-0.42	-0.24	0.27	-0.14	-0.02	-0.08
Vigun01g188600	1.05	1.37	0.27	-0.01	0.47	0.36
Vigun02g111200	1.00	1.66	0.27	0.42	0.45	0.48
Vigun09g151100	1.24	1.67	0.27	0.82	1.24	0.33
Vigun05g040300	-0.14	0.16	0.27	0.75	1.05	0.23
Vigun06g194700	-0.57	-0.33	0.27	0.66	0.81	0.17
Vigun05g062400	-0.04	0.22	0.27	0.17	0.60	0.37
Vigun08g176500	-0.91	-0.74	0.27	-0.35	-0.35	0.06
Vigun03g272100	2.93	2.76	0.27	3.31	3.38	0.84
Vigun11g202000	5.79	6.32	0.27	0.99	0.57	-0.20
Vigun10g131700	-0.53	-0.37	0.27	1.51	1.68	0.02
Vigun06g117400	-0.92	-1.01	0.27	-0.52	-0.68	-0.03
Vigun02g177300	-1.05	-0.73	0.27	-1.28	-1.26	-0.07
Vigun04g151600	3.88	4.04	0.27	-0.35	-0.34	0.63
Vigun09g076900	1.55	2.02	0.27	1.09	1.19	0.55
Vigun09g070100	-0.59	0.18	0.27	-2.34	-3.20	-1.03
Vigun07g248200	1.15	1.55	0.27	0.20	-0.50	0.09
Vigun01g244500	1.68	1.97	0.27	-1.09	-0.77	0.86
Vigun01g139300	0.06	0.27	0.27	0.78	1.10	0.27
Vigun11g174800	-0.09	0.25	0.27	1.15	1.57	0.30
Vigun01g236100	-1.08	-1.03	0.27	0.01	0.58	0.18
Vigun09g166500	-0.30	-0.05	0.27	0.20	0.63	0.25
Vigun11g013900	-0.41	-0.37	0.27	-0.49	-0.81	0.19
Vigun02g044800	2.30	2.77	0.27	0.26	-0.74	0.08
Vigun09g073600	0.26	0.71	0.27	0.03	-0.03	0.11
Vigun01g179300	0.66	1.20	0.27	2.09	1.83	-0.25
Vigun07g273600	-1.15	-0.31	0.27	0.35	0.91	0.50
Vigun06g176200	-0.71	-0.43	0.27	-0.20	-0.25	-0.17
Vigun10g146600	-0.08	0.10	0.27	0.41	0.90	0.39
Vigun02g195000	0.25	0.52	0.27	-0.20	0.21	0.32
Vigun09g251200	6.48	7.13	0.27	3.62	4.30	0.77
Vigun02g175100	-0.54	-0.44	0.27	0.04	0.17	0.05
Vigun02g173500	-1.80	-1.63	0.27	-3.10	-4.74	-1.03
Vigun05g171900	0.36	0.39	0.27	-0.65	-0.12	0.45
Vigun06g161600	2.18	2.61	0.27	1.42	2.12	0.61
Vigun09g008300	2.18	1.79	0.27	0.44	0.99	0.30
Vigun08g122700	-0.27	-0.15	0.27	-0.66	-0.40	0.08
Vigun03g438100	-0.05	0.18	0.27	-0.31	0.24	0.41
Vigun10g117700	1.07	1.28	0.27	-1.89	-2.42	0.22
Vigun09g149300	-0.39	-0.10	0.27	0.97	1.12	0.09
Vigun11g187000	0.44	0.69	0.27	1.61	1.75	-0.18
Vigun03g382600	-0.21	0.06	0.27	0.66	0.84	0.05
Vigun02g181300	1.55	1.51	0.27	-1.40	-2.21	0.49
Vigun08g081000	-0.24	0.03	0.27	0.23	0.01	-0.36
Vigun11g093850	0.72	0.74	0.27	0.56	1.04	0.80
Vigun03g171600	0.94	1.07	0.27	1.50	1.68	0.14
Vigun05g139900	-0.51	-0.37	0.27	0.15	0.37	0.19
Vigun02g106100	-0.67	-0.71	0.27	0.11	0.11	-0.08
Vigun02g161700	2.76	3.17	0.27	1.23	1.04	-1.24
Vigun06g131100	1.67	2.34	0.27	2.44	2.59	0.12
Vigun01g243200	4.06	3.74	0.27	4.92	3.13	-0.12
Vigun04g118800	0.58	0.99	0.27	-0.18	-0.06	0.20
Vigun03g071800	0.25	0.33	0.27	-1.10	-0.62	0.01
Vigun03g160700	-0.28	0.05	0.27	1.30	1.94	0.39
Vigun02g036600	-0.37	-0.11	0.27	0.15	0.53	0.33
Vigun03g310200	1.08	1.45	0.27	0.66	1.11	0.26
Vigun07g163700	0.04	0.32	0.27	0.96	1.44	0.39
Vigun05g088100	-0.79	-0.60	0.27	0.75	0.78	-0.02
Vigun03g063500	-0.40	-0.20	0.27	-0.43	0.14	0.63
Vigun08g001100	-0.60	-0.47	0.27	0.33	1.67	0.69
Vigun03g380500	-0.89	-0.79	0.27	-1.04	-0.69	0.14
Vigun04g082500	-0.28	0.08	0.27	-0.11	0.18	0.15
Vigun07g119700	0.69	1.14	0.27	1.02	1.35	0.23
Vigun08g127500	-0.58	-0.08	0.27	-0.32	-0.15	-0.02
Vigun07g041400	-0.54	-0.44	0.27	-0.37	0.07	0.24
Vigun07g278300	3.39	2.84	0.27	2.65	2.53	0.07
Vigun09g155900	-0.38	-0.09	0.27	0.15	0.63	0.42
Vigun07g213700	0.59	0.16	0.27	1.60	2.40	-0.01
Vigun09g240200	0.65	0.98	0.27	0.83	0.95	0.02
Vigun06g002950	0.17	0.39	0.27	0.71	0.57	0.02
Vigun11g006300	2.23	2.10	0.27	0.12	0.03	-0.26
Vigun06g149800	0.17	0.38	0.27	0.00	0.48	0.42
Vigun05g296150	-0.12	0.30	0.27	2.13	2.35	0.38
Vigun09g003050	-0.90	-0.70	0.27	-0.91	-1.26	-0.02
Vigun04g044250	3.03	3.12	0.27	0.15	0.07	0.13
Vigun09g276300	0.30	0.64	0.27	0.12	0.68	0.50
Vigun01g231400	0.46	1.14	0.27	-1.06	-0.75	-0.04
Vigun09g194500	-0.27	-0.05	0.27	1.23	1.64	0.30
Vigun01g205300	-0.26	-0.09	0.27	1.50	1.77	0.19
Vigun10g035750	0.78	1.15	0.27	0.29	0.75	0.57
Vigun11g165200	-0.77	-0.80	0.27	-0.33	-0.52	-0.26
Vigun01g116050	0.82	0.54	0.27	0.07	-0.63	0.17
Vigun07g189500	7.83	7.75	0.27	5.18	4.35	0.64
Vigun06g096200	-0.43	-0.26	0.27	0.72	1.21	0.38
Vigun06g147800	5.08	5.39	0.27	4.00	4.38	-0.20
Vigun03g190900	0.67	0.95	0.27	1.09	1.34	0.38
Vigun09g153700	6.16	6.79	0.27	5.08	5.61	0.51
Vigun04g162900	-1.92	-1.72	0.27	-1.82	-1.89	0.29
Vigun02g022400	-0.95	-0.78	0.27	1.75	1.00	-0.19
Vigun04g160500	0.57	0.64	0.27	-0.74	-0.45	-0.95
Vigun05g302800	-0.21	0.17	0.27	-1.51	-1.79	0.10
Vigun07g288400	0.80	1.37	0.26	0.31	0.04	-0.13
Vigun11g103300	1.10	1.30	0.26	-0.17	-0.05	0.19
Vigun07g203500	-0.61	-0.42	0.26	1.04	1.02	-0.17
Vigun07g095200	-2.69	-2.78	0.26	-4.63	-2.73	0.76
Vigun06g206800	0.59	0.47	0.26	-0.02	-0.63	-0.03
Vigun11g180100	-0.88	-0.91	0.26	0.05	-0.14	-0.36
Vigun03g245500	-0.94	-0.62	0.26	-0.57	-0.35	0.03
Vigun09g243400	1.07	1.87	0.26	0.64	1.07	-0.05
Vigun07g140400	-0.58	-0.38	0.26	1.39	1.44	-0.44
Vigun02g069700	0.00	0.25	0.26	0.02	0.50	0.46
Vigun01g157000	-1.25	-1.09	0.26	0.57	0.62	0.27
Vigun03g274600	0.18	0.21	0.26	1.94	2.10	0.04
Vigun05g239900	0.54	0.94	0.26	0.69	0.97	0.05
Vigun06g147900	-0.18	-0.19	0.26	-1.68	-1.88	0.72
Vigun08g014000	0.44	0.74	0.26	-0.66	-0.19	0.39
Vigun09g065200	0.26	0.77	0.26	0.35	0.54	0.08
Vigun11g058700	-0.56	-0.37	0.26	-0.40	0.01	0.11
Vigun09g057500	0.63	0.79	0.26	0.18	0.39	0.14
Vigun01g219400	-0.59	-0.69	0.26	3.55	3.31	-0.02
Vigun02g188600	0.56	0.74	0.26	0.64	1.24	0.49
Vigun02g069800	-0.38	-0.32	0.26	-1.11	-1.06	0.18
Vigun09g188800	-0.56	-0.51	0.26	1.47	1.02	-0.43
Vigun07g140800	-1.74	-2.01	0.26	-0.92	-0.94	-0.36
Vigun04g167101	-1.88	-2.07	0.26	-0.25	-0.19	0.08
Vigun08g108800	0.32	0.26	0.26	1.37	0.03	-2.23
Vigun06g001050	-1.34	-1.15	0.26	-1.44	-3.85	0.34
Vigun01g159300	1.25	1.68	0.26	1.09	1.10	0.08
Vigun11g200100	-0.36	-0.15	0.26	0.66	1.24	0.40
Vigun11g052300	-1.10	-0.91	0.26	-1.12	-1.59	-0.35
Vigun08g172100	-0.06	1.37	0.26	-1.46	-0.73	0.07
Vigun08g224000	0.63	0.93	0.26	0.66	1.06	0.31
Vigun03g157500	1.97	2.67	0.26	1.29	2.21	0.28
Vigun07g141000	-0.43	0.09	0.26	1.66	1.65	-0.07
Vigun07g063300	-0.49	-0.28	0.26	-0.80	-0.91	-0.20
Vigun03g350900	1.24	1.41	0.26	-0.08	-0.41	-0.06
Vigun07g289100	-0.10	0.20	0.26	0.21	0.73	0.44
Vigun03g379500	-0.80	-0.78	0.26	0.33	0.76	0.01
Vigun02g011200	5.73	6.02	0.26	3.52	3.91	0.58
Vigun09g148200	-1.01	-1.20	0.26	0.74	1.10	0.24
Vigun03g191900	-0.40	-0.47	0.26	1.48	1.42	-0.10
Vigun11g105150	5.38	5.25	0.26	0.84	0.03	1.31
Vigun11g214100	1.04	1.33	0.26	0.12	0.67	0.41
Vigun08g104100	-1.61	-1.42	0.26	-1.58	-1.83	-0.23
Vigun08g119900	1.68	2.12	0.26	-0.44	-0.53	0.06
Vigun09g246100	0.12	0.40	0.26	0.93	1.15	0.07
Vigun05g300700	-0.29	0.01	0.26	0.35	0.42	-0.36
Vigun04g168300	-0.28	-0.15	0.26	0.34	0.68	0.23
Vigun03g041600	0.58	1.37	0.26	-0.37	-0.62	0.11
Vigun01g114800	1.91	2.56	0.26	1.52	2.12	0.40
Vigun09g053200	-0.29	-0.26	0.26	1.34	1.67	0.32
Vigun08g222500	0.19	0.60	0.26	-0.28	-0.48	-0.26
Vigun08g192900	0.09	0.01	0.26	2.91	3.15	0.61
Vigun03g144100	0.07	0.16	0.26	0.77	0.87	0.04
Vigun04g030100	0.06	0.14	0.26	0.28	0.70	0.42
Vigun03g037200	5.83	6.22	0.26	0.81	0.83	0.45
Vigun09g219100	-0.06	-0.02	0.26	0.03	0.39	0.44
Vigun05g303700	-1.25	-1.24	0.26	-0.49	-0.53	-0.01
Vigun05g019100	2.14	2.33	0.26	4.49	4.95	0.04
Vigun04g028700	-0.26	-0.25	0.26	0.84	0.92	-0.06
Vigun10g172200	-0.80	-0.75	0.26	0.41	0.64	0.12
Vigun08g062100	0.28	0.49	0.26	2.99	3.08	0.00
Vigun08g132300	-0.63	-0.46	0.26	-0.24	-0.05	0.05
Vigun05g090500	-0.46	-0.17	0.26	0.36	0.88	0.34
Vigun06g114800	-0.49	-0.07	0.26	-0.85	-0.75	-0.14
Vigun08g222400	3.11	4.06	0.26	3.90	3.92	0.65
Vigun03g233000	-0.17	0.12	0.26	0.65	0.96	0.22
Vigun01g052000	0.25	0.54	0.26	1.15	1.44	0.30
Vigun05g015700	0.24	0.40	0.26	-0.16	0.26	0.35
Vigun10g148900	2.13	2.29	0.26	-1.66	-2.10	0.42
Vigun08g102200	5.42	5.92	0.26	7.46	8.13	0.71
Vigun01g091900	-0.24	-0.26	0.26	-0.83	-0.83	-0.06
Vigun06g055900	-0.21	0.04	0.26	0.77	0.69	0.07
Vigun05g214500	2.94	3.56	0.26	4.83	5.73	0.89
Vigun07g246100	-0.13	-2.02	0.26	-0.60	-0.09	-1.72
Vigun03g382200	-0.22	0.04	0.26	0.60	0.70	-0.05
Vigun01g201500	2.81	3.38	0.26	0.12	0.03	0.48
Vigun05g014200	0.06	0.36	0.26	0.49	1.00	0.49
Vigun03g166800	-0.47	-0.33	0.26	0.20	0.07	0.00
Vigun10g147500	-0.64	-0.34	0.26	-1.02	-1.68	-0.83
Vigun06g112200	3.44	3.10	0.26	6.23	7.35	0.91
Vigun08g074700	-0.55	-0.78	0.26	-0.77	-0.75	-0.01
Vigun08g162100	-0.26	-0.14	0.26	0.60	1.18	0.49
Vigun02g186900	0.05	0.36	0.26	0.44	0.56	-0.03
Vigun10g115700	-0.60	-0.45	0.26	-0.18	0.05	0.15
Vigun09g111200	0.83	1.25	0.26	1.88	2.39	0.27
Vigun01g231600	-0.36	-0.18	0.26	0.48	0.59	0.06
Vigun01g252400	-0.41	-0.30	0.26	0.11	0.50	0.43
Vigun03g147400	-2.80	-2.94	0.26	-2.35	-1.59	1.14
Vigun10g182200	-0.45	-0.44	0.26	1.70	2.17	0.46
VigunL053600	-0.61	-0.46	0.26	0.43	0.55	0.03
Vigun07g130000	-0.51	-0.90	0.26	-1.13	-0.94	-0.24
Vigun03g184750	1.51	2.18	0.26	1.83	1.58	-0.20
Vigun09g061600	0.71	0.90	0.26	2.92	3.10	0.15
Vigun08g004200	0.06	0.26	0.26	0.73	1.06	0.29
Vigun01g171100	-0.83	-0.82	0.26	-1.51	-1.95	-0.16
Vigun01g114900	0.24	0.73	0.26	-0.45	-0.33	0.38
Vigun08g015300	-1.31	-1.10	0.26	0.64	1.25	0.22
Vigun11g190800	-0.30	0.02	0.26	1.12	1.40	0.21
Vigun02g001800	-0.29	-0.32	0.26	0.66	0.70	0.05
Vigun07g109600	-0.82	-0.69	0.26	-0.73	-0.59	0.13
Vigun06g081000	-0.32	0.02	0.26	0.52	0.88	0.27
Vigun11g094600	2.51	2.65	0.26	1.79	1.37	-1.21
Vigun05g091900	0.70	-0.24	0.26	-1.06	-0.06	-0.72
Vigun07g280900	0.87	1.10	0.26	-0.07	0.44	0.31
Vigun08g129200	0.97	1.42	0.26	-0.81	-1.14	0.30
Vigun11g166120	0.71	0.45	0.26	-2.35	-0.70	0.91
Vigun03g394000	1.80	3.07	0.26	-0.60	-0.69	-0.26
Vigun07g281700	0.01	0.25	0.26	-0.26	-0.23	-0.06
Vigun10g128900	0.44	0.45	0.26	0.32	0.27	-0.02
Vigun02g148400	0.21	0.49	0.26	-0.15	0.14	0.26
Vigun10g187000	-1.23	-0.98	0.26	-0.52	-0.56	0.10
Vigun11g009500	-0.03	0.07	0.26	0.05	0.36	0.39
Vigun07g105800	-1.06	-0.87	0.26	0.28	0.58	0.00
Vigun07g108600	-1.54	-1.52	0.26	-0.58	-0.43	0.15
Vigun08g140700	-0.76	-0.79	0.26	0.47	0.22	-0.41
Vigun03g450400	-0.06	0.06	0.26	0.21	0.78	0.52
Vigun03g024500	-1.18	-1.19	0.26	-0.77	-0.49	0.12
Vigun01g141500	0.74	1.03	0.26	2.00	2.10	-0.03
Vigun07g206600	-0.66	-0.50	0.26	0.96	0.98	-0.10
Vigun09g259300	-0.66	-0.53	0.26	0.13	-0.25	-0.34
Vigun07g208600	0.22	0.52	0.26	0.72	0.84	-0.03
Vigun06g056600	1.58	1.75	0.26	-0.51	-1.11	-0.08
Vigun03g313100	1.96	1.78	0.26	0.85	-0.69	-1.72
Vigun04g014000	0.11	0.34	0.26	0.24	0.74	0.35
Vigun02g163500	-0.23	-0.09	0.26	1.05	1.47	0.41
