taxa	0.5h	1h	3h	5h	8h	24h
Nitab4.5_0000125g0360.1	1.3	-0.7	0.2	0.2	0.4	0.2
Nitab4.5_0000125g0380.1	-2.5	-1	0.8	0.8	-0.9	1.7
Nitab4.5_0000127g0100.1	2.3	1.3	-0.2	-0.9	0.5	0.3
Nitab4.5_0000129g0310.1	-2.7	-1.7	-1.4	-0.9	-1.2	-2.1
Nitab4.5_0000130g0060.1	-1.5	-0.8	-0.8	-0.9	-1	-1.3
Nitab4.5_0000130g0380.1	1.1	0.5	0.1	0.2	0.4	-0.3
Nitab4.5_0000132g0050.1	1	0.8	0.4	0.4	0.7	0.1
Nitab4.5_0000132g0110.1	13.5	11.8	11.4	10.2	0	10.7
Nitab4.5_0000132g0500.1	-1	-0.2	-0.1	-0.9	-0.7	-0.5
Nitab4.5_0000136g0200.1	3.3	0.6	-1.6	2.2	1.9	3.5
Nitab4.5_0000136g0270.1	-1.5	-1.2	-0.5	-0.6	-1.5	-0.7
Nitab4.5_0000137g0240.1	14.3	12.5	12.7	12.8	12.6	12
Nitab4.5_0000139g0010.1	-1.5	-1.5	-0.6	-0.4	-0.9	1
Nitab4.5_0000141g0040.1	1.3	0.8	0	0.6	0.6	-0.2
Nitab4.5_0000141g0350.1	1.2	0.7	0	-0.2	-0.3	-0.1
Nitab4.5_0000142g0440.1	1.2	1.1	0.4	0.5	0.5	0.2
Nitab4.5_0000143g0090.1	-1.2	-0.6	-0.1	0.5	0.7	-0.2
Nitab4.5_0000143g0160.1	2.5	0.7	-0.8	-1.6	-1	0.3
Nitab4.5_0000145g0180.1	1.3	0.8	-0.2	0.3	0.2	-0.5
Nitab4.5_0000152g0170.1	-1.4	-1.1	-0.3	0.8	1	-0.1
Nitab4.5_0000152g0280.1	1.1	0.8	0.5	0.4	0.6	0.5
Nitab4.5_0000152g0420.1	1.2	0.6	0.3	0.3	0.6	0.2
Nitab4.5_0000153g0190.1	3.3	1	-0.8	-1.2	0.8	1.1
Nitab4.5_0000154g0300.1	1.8	0.9	1.4	1.2	1.1	1.4
Nitab4.5_0000154g0310.1	1.4	0.5	0.8	0.3	0.9	1
Nitab4.5_0000155g0090.1	-3.9	-1.5	1	0.5	-1.9	0.2
Nitab4.5_0000156g0150.1	1.6	0.9	-0.2	-1.2	-2.2	1.1
Nitab4.5_0000157g0160.1	-2.8	-0.9	-0.4	-0.1	-1.3	-0.9
Nitab4.5_0000158g0100.1	2.9	0.5	0.2	0.3	0.9	0.6
Nitab4.5_0000161g0280.1	-3.8	-0.4	-0.6	-0.7	1	-0.3
Nitab4.5_0000163g0340.1	-1.1	-2.4	-3.6	-1.6	-2.3	-6.2
Nitab4.5_0000164g0200.1	1.2	-0.1	-0.2	0.2	0	1.4
Nitab4.5_0000165g0090.1	1.1	0.7	0.1	0.1	0.2	0.4
Nitab4.5_0000165g0100.1	-1.1	-1.1	-1	-0.5	-0.7	-1.1
Nitab4.5_0000165g0110.1	-1.2	-1	-1.1	-0.7	-0.7	-1.3
Nitab4.5_0000166g0050.1	2.1	0.1	0.6	0.5	1.3	1.1
Nitab4.5_0000166g0100.1	1.1	2	-0.1	0.1	1	-0.9
Nitab4.5_0000167g0130.1	-2.1	-1	-3.6	-3.1	-4	-4
Nitab4.5_0000169g0080.1	2.1	-0.3	0.3	0.4	1.3	1
Nitab4.5_0000170g0030.1	1.1	-0.2	-0.4	-0.3	-0.4	-0.3
Nitab4.5_0000170g0180.1	-3.1	-2	-3.7	-3.8	-5	-2.1
Nitab4.5_0000170g0400.1	1.5	1.7	-1.2	-0.1	0	0.3
Nitab4.5_0000171g0010.1	-1	-0.8	-0.2	-0.3	-0.4	-0.1
