taxa	0.5h	1h	3h	5h	8h	24h
Nitab4.5_0012102g0020.1	-3	-1.1	0.7	-1.7	-1.7	-0.4
Nitab4.5_0012104g0010.1	1.5	0.2	0.7	0.1	0.1	1
Nitab4.5_0012105g0010.1	-1.7	-2	-1.1	0.2	1.1	-1
Nitab4.5_0012112g0020.1	2.1	0.2	0.8	0.6	1.2	1
Nitab4.5_0012115g0010.1	3.1	1.9	0.4	-1.3	-0.8	1.9
Nitab4.5_0012115g0030.1	2.4	1.2	0.8	0	1.4	1.6
Nitab4.5_0012161g0030.1	2.3	1.4	-0.7	-0.1	0.2	-0.4
Nitab4.5_0012194g0010.1	1.6	0.5	-0.7	-0.4	-0.8	-0.2
Nitab4.5_0012202g0020.1	3.1	1	-0.6	-2.2	1	-1.3
Nitab4.5_0012224g0020.1	-1.6	-0.9	0.4	-0.3	-0.5	1.2
Nitab4.5_0012245g0040.1	-2.1	-0.9	-0.1	-0.5	-1.7	0.3
Nitab4.5_0012245g0050.1	-1.3	-0.9	-0.5	0	-1	-1
Nitab4.5_0012300g0010.1	1.1	0.5	0.2	-0.4	0	0.2
Nitab4.5_0012320g0020.1	-1.1	-0.9	-0.7	-0.3	-0.4	-1.1
Nitab4.5_0012336g0030.1	1.4	-0.1	0.5	0.1	0.6	0.6
Nitab4.5_0012340g0030.1	2.3	2	1.5	0.3	-1	0.9
Nitab4.5_0012349g0030.1	-2.1	-0.9	0.1	0.7	-0.3	-1.1
Nitab4.5_0012351g0020.1	-2	-1.2	0.5	-0.9	-1.7	0.2
Nitab4.5_0012359g0010.1	1.6	0	0.2	0.8	0.4	0.7
Nitab4.5_0012375g0020.1	-1.2	-0.9	-0.1	-0.2	-1	0
Nitab4.5_0012385g0010.1	1.9	0.2	0.7	0	-0.4	1
Nitab4.5_0012400g0010.1	1.9	-0.1	0.5	0.6	1.6	0.8
Nitab4.5_0012408g0020.1	-1.3	-0.6	-0.5	-0.4	0.2	0.8
Nitab4.5_0012449g0010.1	1	0.4	-0.4	-1	-1.6	-0.4
Nitab4.5_0012460g0010.1	1.5	1.1	0	0.5	0.9	0.5
Nitab4.5_0012489g0020.1	-5.4	-2.7	-4.5	-6.3	-5.7	-8.5
Nitab4.5_0012502g0010.1	1.8	1	0.3	-0.5	0.2	-0.3
Nitab4.5_0012555g0010.1	2.3	0.9	0.5	0.9	0.8	-0.4
Nitab4.5_0012570g0010.1	1	0.8	-0.1	-0.1	0.1	0.1
Nitab4.5_0012606g0030.1	1.5	0.6	0.9	0.8	0.9	-0.3
Nitab4.5_0012631g0010.1	1.2	0.7	0.6	0.8	0.6	0.5
Nitab4.5_0012646g0010.1	1.4	0.5	-0.5	0.1	0.5	-0.6
Nitab4.5_0012660g0020.1	1.2	1.7	1.1	1.3	1.6	0.3
Nitab4.5_0012660g0030.1	1.7	1.3	0.4	-1.2	-4.2	1.4
Nitab4.5_0012702g0010.1	-2.3	-0.2	1.4	1.1	-0.4	1.1
Nitab4.5_0012710g0010.1	1.2	-0.7	0.1	-0.3	0.2	0.4
Nitab4.5_0012714g0010.1	1.5	1.5	0.6	-0.9	-2.5	1.2
Nitab4.5_0012717g0010.1	1.2	0.7	0	-0.2	0.3	-0.2
Nitab4.5_0012731g0010.1	-1.5	-0.5	-0.2	-1	-2.4	-1.1
Nitab4.5_0012752g0010.1	-4.6	-2.2	-3.5	-2.8	-3.2	-4.5
Nitab4.5_0012764g0010.1	4.2	1.1	2.2	1.9	1.7	1.4
Nitab4.5_0012785g0020.1	-1.5	-0.8	-0.5	-1.2	-1.1	-0.2
Nitab4.5_0012789g0020.1	-1.4	-0.1	-0.4	-0.7	-0.3	0.4
Nitab4.5_0012800g0010.1	-2.5	-1.7	-0.8	-1.4	-2.6	-1
Nitab4.5_0012805g0030.1	1.2	0.7	0.2	0.7	0.8	0.3
Nitab4.5_0012898g0020.1	-2.1	-1.6	-0.3	0	-0.7	-0.1
Nitab4.5_0012899g0010.1	1.7	1.8	0.4	-0.5	0	-0.6
Nitab4.5_0012943g0030.1	1.2	0.6	-0.5	-0.2	-0.7	-0.2
Nitab4.5_0013033g0010.1	-1.6	-1.3	0	0.8	-0.1	-1.2
Nitab4.5_0013034g0030.1	-1.2	-0.5	-0.7	0	-0.2	-0.5
Nitab4.5_0013107g0010.1	2	1.6	1.2	0.6	0.5	-0.1
Nitab4.5_0013109g0010.1	-1.6	-1.4	-0.4	-0.4	-0.8	0.1
Nitab4.5_0013117g0010.1	1.3	0.5	0.6	0.4	0.1	0.4
Nitab4.5_0013195g0010.1	1.5	1.4	-0.5	-1	0	-0.3
Nitab4.5_0013243g0020.1	-1.5	-1	-0.6	-1.9	-2	-2.1
Nitab4.5_0013252g0010.1	-1.1	-0.2	0.1	0.4	-0.1	0.1
Nitab4.5_0013277g0010.1	2.5	0.4	-0.4	-0.6	0.1	0.5
Nitab4.5_0013322g0010.1	1.2	1.8	1.4	1.4	1.6	0
Nitab4.5_0013337g0010.1	2.2	-0.3	-2.1	0.7	1.6	0.5
Nitab4.5_0013387g0020.1	1.1	0.7	-0.2	-0.1	0.1	-0.1
Nitab4.5_0013401g0010.1	-1	-0.5	0	0.1	0.2	-0.3
Nitab4.5_0013405g0010.1	-1.7	-0.9	0.3	-0.1	-0.6	1.3
Nitab4.5_0013415g0020.1	-2.2	-1	0.5	-0.3	-0.6	1.1
Nitab4.5_0013425g0030.1	1.8	1.6	1.5	1.2	2.1	0.7
Nitab4.5_0013455g0010.1	-1.5	-1.5	-0.7	-0.9	-1.8	-0.2
Nitab4.5_0013455g0030.1	-1.1	-1	0.1	-0.1	-0.7	0.6
Nitab4.5_0013456g0010.1	-1.3	-0.7	-0.6	0	-0.6	0
Nitab4.5_0013475g0010.1	-1.1	-1	-0.5	-0.5	-0.9	-0.8
Nitab4.5_0013596g0010.1	1.6	1.4	-0.6	-1.3	0.1	0.2
Nitab4.5_0013627g0020.1	-1.1	-1.1	-0.3	-0.1	-0.3	-0.4
Nitab4.5_0013628g0010.1	-1.3	-1.1	0	-0.6	-1	0.4
Nitab4.5_0013685g0010.1	-1.3	-0.8	-0.1	0.8	1.3	0.2
Nitab4.5_0013739g0010.1	3	0.9	-1	-2.7	-2.9	0.7
Nitab4.5_0013813g0010.1	1.1	0.2	0.2	-0.1	-0.4	0.4
Nitab4.5_0013869g0010.1	-1.6	-0.9	-0.2	0.3	-0.9	-0.6
Nitab4.5_0013929g0010.1	1.9	1.3	-0.2	-0.7	-0.3	0
Nitab4.5_0013970g0010.1	-1.2	-0.5	-0.1	0	-0.3	-0.6
Nitab4.5_0014046g0010.1	-2.8	-0.5	-0.4	0.1	-2.5	-1.3
Nitab4.5_0014092g0020.1	1.7	-0.3	-0.2	-0.1	0.5	0
Nitab4.5_0014168g0010.1	1.5	0.6	1.1	1.2	1.3	0.4
Nitab4.5_0014344g0010.1	-1.2	-1.5	-0.7	0.1	0	-0.9
Nitab4.5_0014470g0010.1	-3.6	-1.3	-1	-1.5	-3.1	-2.8
Nitab4.5_0014584g0010.1	-2.4	-1.7	-1.1	-0.5	-0.5	-0.2
Nitab4.5_0014681g0010.1	-1.7	-0.7	-0.3	-0.6	-0.8	-0.5
Nitab4.5_0014792g0010.1	1.7	1.4	0.5	0.3	0.6	0.5
Nitab4.5_0015138g0010.1	2.1	1.2	1.3	1	1.3	1.6
Nitab4.5_0015147g0010.1	2.4	0.4	0.3	1.4	0.8	0.7
Nitab4.5_0015164g0010.1	1	0.4	0.4	0.8	0	0.6
Nitab4.5_0015204g0010.1	-1.8	-0.5	0	-0.9	-0.6	-0.1
Nitab4.5_0015582g0010.1	2.5	0	0.1	1.4	0.1	-0.2
Nitab4.5_0015894g0010.1	-1.6	-0.3	-0.2	-2	-1.6	0.2
Nitab4.5_0016068g0010.1	3.6	1.8	3.5	3.1	0.9	2
Nitab4.5_0016396g0010.1	-1.8	-0.9	-0.8	-0.2	2.3	-0.6
Nitab4.5_0016704g0010.1	1	1.5	0	0.4	0.6	0.3
Nitab4.5_0016805g0010.1	-1.7	-0.7	0.2	-0.4	0	-0.4
Nitab4.5_0016829g0010.1	1.2	1	0.5	-0.3	0.5	0.7
Nitab4.5_0017196g0010.1	-2.3	-0.9	-1.8	-2	-2.5	-2.4
Nitab4.5_0017306g0010.1	1.7	1.3	-0.7	-0.5	0	-0.2
Nitab4.5_0017755g0010.1	2.1	1.2	-0.1	0.9	1.3	1
Nitab4.5_0017838g0010.1	-1.5	-0.7	-0.1	0.1	-0.8	0.3
Nitab4.5_0017907g0010.1	1.6	1.5	0.6	0	1.1	0.7
Nitab4.5_0017990g0020.1	1.4	1	0.3	0.5	0.6	0.5
Nitab4.5_0018289g0010.1	-2.7	-1.1	-1.8	-2.6	-3.1	-2.3
Nitab4.5_0018301g0010.1	-1.3	-1.4	-1	-1.2	-2.5	-1.5
Nitab4.5_0018389g0010.1	-1.9	-0.4	-1.8	-2.4	-2.6	-2.8
Nitab4.5_0018794g0010.1	1.2	1.6	0.8	-0.1	1.3	1.2
Nitab4.5_0019108g0010.1	2.4	0.6	-0.9	0	0.4	-0.7
Nitab4.5_0019776g0010.1	-2	-0.6	-4	-4	-5.3	-5.3
Nitab4.5_0019856g0010.1	1.9	1.1	0	0.1	0.3	0.4
Nitab4.5_0020114g0010.1	-1.2	-0.8	-0.7	-0.1	-0.9	-0.7
Nitab4.5_0020239g0010.1	-1.1	0.5	0.1	-0.3	-0.3	-0.8
Nitab4.5_0020598g0010.1	1.3	0.8	1.1	1.2	1.3	0.4
Nitab4.5_0020608g0010.1	-1.8	-1.3	-0.1	-0.4	-0.5	0.6
Nitab4.5_0020701g0010.1	-1.3	-0.8	0.2	0.1	-0.7	0
Nitab4.5_0021096g0010.1	1.7	1.3	1.6	0.9	1	0.9
Nitab4.5_0021852g0010.1	4.7	4.3	3.6	3.1	4	0.1
Nitab4.5_0022042g0010.1	-5.3	-2.2	0.4	-1.1	-3.8	0
Nitab4.5_0022126g0010.1	-1.3	-1.1	0.1	0.4	-0.2	-0.4
Nitab4.5_0022145g0010.1	-13.7	-3.6	0.2	0.7	-0.9	0.7
Nitab4.5_0022569g0020.1	-1.3	-0.3	-0.2	0.5	0.3	-1.3
Nitab4.5_0022765g0010.1	-2.4	-1.7	-0.6	-0.7	-1.6	-0.4
Nitab4.5_0023782g0010.1	1.1	0.8	1.2	0.7	1.6	0.6
Nitab4.5_0024070g0010.1	1	0.8	0.3	0.5	0.3	0.3
Nitab4.5_0024309g0010.1	1.1	0.6	1.1	1.3	1.2	-0.3
Nitab4.5_0025830g0010.1	-1.3	-0.3	-0.8	-0.1	-0.7	-0.2
Nitab4.5_0026365g0010.1	1.6	0.7	0.7	0.5	1.2	2
Nitab4.5_0026421g0010.1	-1.2	-1.3	-0.6	-0.1	-0.5	0
Nitab4.5_0026691g0010.1	-1.2	-0.3	0	0.3	-0.5	-0.6
Nitab4.5_0027786g0010.1	2.5	0.3	0.1	0.5	0.6	0.7
Nitab4.5_0029224g0010.1	-2.1	-0.8	-0.1	0.5	-0.7	0.2
Nitab4.5_0029367g0020.1	1.3	1.4	0.1	-0.2	-1.4	-0.9
Nitab4.5_0029531g0010.1	-1.3	-1.5	-3.6	-0.4	-1	-4.6
Nitab4.5_0000007g0320.1	0.1	1.5	0.5	0.6	1.3	-0.1
Nitab4.5_0000008g0500.1	0.6	1.9	-0.7	0.1	0.3	1.5
Nitab4.5_0000021g0010.1	0.6	1.1	0	-1.7	-0.1	0.3
Nitab4.5_0000021g0120.1	-0.4	-1.1	-0.5	-0.8	-1.4	-0.5
Nitab4.5_0000022g0430.1	1.2	1.8	1.4	1.6	1.9	0.4
Nitab4.5_0000025g0340.1	-0.5	2.2	-1.3	0.1	0.5	-2.1
Nitab4.5_0000034g0220.1	-0.3	1.5	1.2	1.5	1.9	-0.2
Nitab4.5_0000036g0010.1	-0.7	-1.2	0.6	0.4	-0.2	1
Nitab4.5_0000038g0180.1	0.8	1.2	0.2	0.2	0.4	0.5
Nitab4.5_0000041g0020.1	-0.7	-1.1	-0.6	-1.2	1.1	-1.3
Nitab4.5_0000046g0020.1	1	1	-0.2	0	0.3	0
Nitab4.5_0000048g0080.1	0.9	1.6	-0.2	-0.7	0.1	-0.5
Nitab4.5_0000063g0340.1	0.1	1.1	0.1	0.2	0.1	-0.4
Nitab4.5_0000067g0120.1	-1	-1.2	-0.4	-0.7	0.5	-0.5
Nitab4.5_0000070g0110.1	0	-2	-1.1	-1.7	-1.8	-0.2
Nitab4.5_0000076g0060.1	-0.9	-1.3	-0.8	-0.3	-0.3	-1.5
Nitab4.5_0000082g0170.1	0.1	1.4	0.3	0.6	-0.5	0.5
Nitab4.5_0000084g0170.1	-0.3	-12.8	-1	-0.8	-0.1	-1.5
Nitab4.5_0000097g0190.1	1	1.1	0.7	0	0.4	0.3
Nitab4.5_0000099g0080.1	-0.6	1.1	-0.3	0.1	-0.1	0.2
Nitab4.5_0000101g0120.1	-0.3	-1.3	-1.3	-2.7	-3.4	-1.6
Nitab4.5_0000109g0340.1	0	2	0.2	-0.9	0.8	1
Nitab4.5_0000116g0290.1	1	1.3	0.1	-0.6	-0.2	0.2
Nitab4.5_0000121g0090.1	0.6	1	0.5	-0.4	1.2	0.9
Nitab4.5_0000129g0160.1	-1	-1.9	-1.1	0.4	-0.9	-1.4
Nitab4.5_0000132g0350.1	1.1	1.8	1.5	0.6	2.8	2
Nitab4.5_0000147g0400.1	-4.6	-2.9	-0.6	0.2	-4.3	-2.6
Nitab4.5_0000151g0320.1	-0.9	-1.1	-0.6	-0.3	-1	-0.1
Nitab4.5_0000183g0080.1	0.5	1.5	1	1.4	0.9	0.2
Nitab4.5_0000188g0310.1	0	1.3	-0.1	-1.3	-0.4	-0.3
Nitab4.5_0000218g0060.1	0.8	2.2	1.8	0.6	2.6	1.9
Nitab4.5_0000218g0070.1	-0.1	1.1	2	1	3	1.1
Nitab4.5_0000222g0170.1	-1.2	-1.4	-2.1	-2	-2.2	-2.4
Nitab4.5_0000234g0200.1	-7.6	-2.4	-2.6	-0.3	-4.8	-2.2
Nitab4.5_0000244g0180.1	-0.9	-1.1	-0.7	-0.3	-0.1	-0.6
Nitab4.5_0000284g0090.1	0.9	1.2	1.3	0.8	1.4	1.6
Nitab4.5_0000297g0290.1	0.9	1.3	0.1	-0.1	-0.6	0
Nitab4.5_0000310g0220.1	-0.4	-1.8	-1.3	-1	-0.8	-0.5
Nitab4.5_0000312g0090.1	-0.7	-1	-0.5	-1	-1.7	-0.6
Nitab4.5_0000322g0180.1	-0.9	-1.6	-0.4	-1.3	-3.6	-0.9
Nitab4.5_0000329g0240.1	-0.7	-1	-0.1	-0.4	-0.9	-0.2
Nitab4.5_0000348g0230.1	1.4	1.8	-0.6	-2	-0.3	0.4
Nitab4.5_0000360g0100.1	-1	-1.6	-0.7	-4.2	-0.3	-1.2
Nitab4.5_0000381g0130.1	0.3	1.3	-1.1	-1.7	-1.2	-1.5
Nitab4.5_0000383g0350.1	-0.3	1.1	2.4	1.3	0.9	0.8
Nitab4.5_0000397g0010.1	0	-1.1	0.4	1.8	0.9	0.5
Nitab4.5_0000403g0130.1	-0.7	-1.3	-0.7	-1	-1.2	-0.4
Nitab4.5_0000421g0110.1	-0.8	-1.9	-1	-0.7	-0.8	-1.3
Nitab4.5_0000424g0010.1	0.8	1.6	0.4	0.5	2.6	2
Nitab4.5_0000435g0090.1	-1.8	-12.8	-1.3	0	-2.1	0.4
Nitab4.5_0000440g0170.1	-0.6	-2.4	-1.3	-1.8	-1.5	-0.9
Nitab4.5_0000461g0280.1	-0.4	-1.5	-0.3	-2	-2.4	0.1
Nitab4.5_0000462g0170.1	0.4	1.3	-0.6	-1.7	-0.5	-0.4
Nitab4.5_0000502g0160.1	0.8	1.3	0	-0.1	-1	0.1
Nitab4.5_0000522g0170.1	-0.7	-1.1	-0.4	-0.6	-0.6	0
Nitab4.5_0000549g0050.1	0.7	1	-0.2	-0.1	-0.1	-0.1
Nitab4.5_0000550g0010.1	0.3	1.1	0.2	0.5	0.5	-0.5
Nitab4.5_0000566g0180.1	-0.5	-1	-0.5	0.1	-0.2	0
Nitab4.5_0000573g0100.1	9.4	14	14.7	13.1	12.8	12.4
Nitab4.5_0000588g0280.1	-0.2	1.1	0.5	0.6	0.6	-0.2
Nitab4.5_0000652g0020.1	0.1	1.5	-0.4	-1.6	-0.9	0.3
Nitab4.5_0000662g0180.1	-1.3	-1.7	-0.6	-2.3	0.4	0
Nitab4.5_0000704g0080.1	0.9	1.5	1.1	0.6	1.9	1.7
Nitab4.5_0000728g0130.1	-0.3	-2.9	-1.1	-1.8	-1.4	0.2
Nitab4.5_0000733g0260.1	-0.8	-15.2	-0.9	-0.9	-0.1	-1.1
Nitab4.5_0000754g0140.1	-0.5	-1.6	-0.9	-1.2	0.8	-0.7
Nitab4.5_0000754g0170.1	-0.3	-1.5	-0.4	-0.9	0.8	-0.2
Nitab4.5_0000755g0200.1	-0.8	-1	0	-0.6	-0.6	0.8
Nitab4.5_0000770g0100.1	1	1.2	0	0.4	1.4	0.1
Nitab4.5_0000826g0130.1	-0.1	-1.6	-2.1	-0.5	0.9	-0.1
Nitab4.5_0000833g0010.1	-1.2	-1.6	-1	-3	0.2	-1.9
Nitab4.5_0000851g0020.1	-0.8	-1	-0.4	-0.5	-1.3	0.3
Nitab4.5_0000871g0040.1	1.1	1.7	1.7	1.9	2	0.7
Nitab4.5_0000926g0120.1	0.3	-1.5	-0.2	-0.6	-1.1	0.1
Nitab4.5_0000946g0010.1	-0.9	-1.2	-0.6	-0.5	-0.3	0.1
Nitab4.5_0001028g0150.1	-0.9	-1.2	-0.7	-2.5	-1	-1.4
Nitab4.5_0001048g0050.1	-1.3	-2.1	-1.5	-0.1	-2.4	-1.7
Nitab4.5_0001091g0110.1	0.2	1.1	0.1	0.3	0.1	-0.7
Nitab4.5_0001111g0050.1	0.4	-2.1	-2.1	-3.1	-0.6	0.1
Nitab4.5_0001117g0060.1	0.6	1.3	0.2	-0.2	0.5	0.5
Nitab4.5_0001143g0060.1	0.8	1.3	-0.1	-0.3	-0.2	0.3
Nitab4.5_0001145g0040.1	-1	-1	-0.9	-0.4	-0.6	-0.8
Nitab4.5_0001146g0080.1	0.8	1.3	1.5	1.7	2.3	-0.2
Nitab4.5_0001157g0040.1	0.6	-3.3	-0.7	-1.3	-1	1
Nitab4.5_0001181g0050.1	-0.5	-3	-2	-2.5	1.2	-1
Nitab4.5_0001225g0250.1	-0.3	-2.4	-1.3	-1.6	-0.1	-0.3
Nitab4.5_0001274g0010.1	-0.7	-1.1	-0.7	-0.6	-0.1	0.7
Nitab4.5_0001294g0010.1	-1	-1.1	-1.3	-0.6	-0.6	-1
Nitab4.5_0001301g0110.1	0.7	1	1	1.2	0.7	-0.3
Nitab4.5_0001307g0030.1	1.3	1.8	-0.3	-2	-0.2	-0.3
Nitab4.5_0001492g0060.1	0.6	1.8	1.9	-0.1	2.3	1.9
Nitab4.5_0001503g0100.1	-0.8	-1.2	-0.3	-0.9	-1.2	-0.7
Nitab4.5_0001735g0070.1	0.7	1.2	0.7	0.2	0.7	-0.1
Nitab4.5_0001789g0020.1	0.6	1	0.6	0.8	0.9	-1.5
Nitab4.5_0001842g0020.1	-0.8	-1.2	-1	-1	-1.4	-0.5
Nitab4.5_0001856g0060.1	0.3	1.1	-0.5	-1.7	-0.5	-0.5
Nitab4.5_0001887g0050.1	0.2	1.1	1	1	1.1	0.5
Nitab4.5_0001916g0070.1	0.5	1.1	0.6	-0.7	1.3	0.9
Nitab4.5_0001926g0060.1	-1	-1.9	-1.4	-0.8	-2.6	-0.2
Nitab4.5_0001952g0110.1	-0.8	-3.7	-1.9	-2	0.4	0
Nitab4.5_0002031g0050.1	-1	-2	-1	0.8	1.2	-1
Nitab4.5_0002102g0030.1	-0.5	1.1	1.3	0.6	1.9	-0.5
Nitab4.5_0002177g0010.1	0.9	1.9	-0.8	-1.8	-0.9	-0.6
Nitab4.5_0002177g0170.1	-0.1	1	-1	-2.1	-0.9	-1.3
Nitab4.5_0002182g0090.1	0.6	1.5	1.3	0.9	1.3	1.9
Nitab4.5_0002241g0040.1	0.9	1.2	0.3	-0.4	0	0
Nitab4.5_0002314g0010.1	-0.4	-1.1	-1.1	-0.9	-0.3	-0.7
Nitab4.5_0002353g0100.1	1.2	1.9	0.9	0.8	1.3	0.3
Nitab4.5_0002418g0030.1	0.6	1.1	0.4	-0.6	0.4	-0.2
Nitab4.5_0002462g0090.1	-5.7	-1.8	0	-1.1	-1.7	-1.1
Nitab4.5_0002498g0080.1	0.1	-1.8	-1.3	-0.6	0.6	0.2
Nitab4.5_0002521g0040.1	-0.9	-1.6	-0.4	-0.5	-0.7	-0.4
Nitab4.5_0002577g0100.1	0.7	1.2	0	-0.9	-0.2	0
Nitab4.5_0002673g0050.1	-1.2	-13.1	-2.5	-13.1	0	-13.1
Nitab4.5_0002687g0010.1	-0.6	-1.9	-1.7	-2.3	-1.3	-0.4
Nitab4.5_0002723g0040.1	-0.2	-1.4	0	-0.4	-0.9	-1.2
Nitab4.5_0002733g0050.1	0.8	1.5	1.1	1.7	1.8	0
Nitab4.5_0002758g0040.1	0.5	1.3	-0.5	-0.6	-0.1	-0.6
Nitab4.5_0002762g0010.1	-0.7	-1.6	-1.4	-1.6	0.5	-0.6
Nitab4.5_0002771g0030.1	0.9	1.4	1.2	1.6	1.7	-0.1
Nitab4.5_0002792g0060.1	-0.6	1.5	0.3	1.2	-1.2	-1.5
Nitab4.5_0002796g0040.1	-1.1	-1.6	-1.3	-1.8	-0.1	-1.5
Nitab4.5_0002839g0010.1	-0.9	-1.5	-1.4	-2.2	0.7	-1.2
Nitab4.5_0002846g0010.1	-0.7	-1	-0.2	-0.3	-0.3	0
Nitab4.5_0002863g0040.1	0.4	-1.1	-0.1	-0.1	-0.7	-0.2
Nitab4.5_0002898g0030.1	0.6	1.1	0.3	0	0.4	-0.2
Nitab4.5_0002914g0140.1	0.8	1.1	0.3	-1.6	0.2	-0.1
Nitab4.5_0002948g0020.1	1.6	2.6	1	1.1	3	3.3
Nitab4.5_0003022g0060.1	-5.1	-3.9	-0.3	-1.2	-3.3	-1.7
Nitab4.5_0003133g0040.1	1	1.1	-0.2	-0.1	-0.3	-0.5
Nitab4.5_0003201g0020.1	-0.8	-1	0.2	-0.1	-1.2	0.3
Nitab4.5_0003298g0050.1	0.4	1.4	0.4	0	1.6	0.6
Nitab4.5_0003328g0020.1	0.1	1.1	0.9	1	0.4	0.2
Nitab4.5_0003402g0050.1	-0.6	-1.1	-1.1	-0.4	-2	-0.7
Nitab4.5_0003495g0040.1	0.9	1.2	-0.9	-0.5	0.1	0.6
Nitab4.5_0003554g0020.1	0.9	1.1	0	-0.5	-1.5	-0.4
Nitab4.5_0003571g0010.1	-0.7	-13.7	-2.9	-4.7	-2.3	-2.2
Nitab4.5_0003573g0020.1	0.7	1.3	0.7	1.2	0.7	-0.4
Nitab4.5_0003587g0010.1	0.5	1.2	0.5	0.5	1.4	1.3
Nitab4.5_0003676g0080.1	0.8	1.1	0.6	0.5	0.6	-0.4
Nitab4.5_0003715g0060.1	-2.9	-14.1	-14.1	-3.7	0	-4.1
Nitab4.5_0003779g0090.1	-0.7	-1	-0.4	0.2	-0.5	-0.7
Nitab4.5_0003811g0100.1	0.9	2.1	1.4	2.1	1.5	-1.6
Nitab4.5_0003828g0030.1	0.7	1.2	1.6	2.2	1.9	0.3
Nitab4.5_0003884g0010.1	-0.1	-1.1	-0.1	0.2	0.3	0
Nitab4.5_0003893g0030.1	-0.9	-1.1	-0.3	-0.4	-0.3	-0.4
Nitab4.5_0003985g0010.1	10.6	13.3	0	12.9	0	0
Nitab4.5_0003985g0020.1	1.2	1.5	-0.3	-1.2	-0.7	-0.3
Nitab4.5_0004009g0040.1	-0.5	-1.1	0	-0.2	-0.1	-0.5
Nitab4.5_0004010g0070.1	1	1.2	0.1	-0.2	1.3	1.3
Nitab4.5_0004055g0010.1	0.5	1.5	1.6	1	1	1.6
Nitab4.5_0004070g0030.1	-0.5	-1.6	-1.4	-1.9	-0.6	-2.1
Nitab4.5_0004106g0010.1	1	1	1.2	0.7	1.7	1.5
Nitab4.5_0004123g0030.1	-0.8	-2.2	-1.2	-3	-1.9	0
Nitab4.5_0004153g0040.1	-0.7	-1.4	-0.6	-0.3	-0.3	0.2
Nitab4.5_0004261g0030.1	0.3	1.3	-0.4	-1.6	-0.2	-0.9
Nitab4.5_0004957g0010.1	-8.2	-3.2	-0.1	0.8	3.8	0.4
Nitab4.5_0004992g0010.1	-0.3	-1.2	-0.2	-0.2	-0.5	-0.5
Nitab4.5_0005133g0050.1	-5.2	-12.5	-4.2	-4.9	-12.5	-12.5
Nitab4.5_0005157g0010.1	0.7	1.7	-0.2	-1.7	-0.6	0.1
Nitab4.5_0005226g0010.1	0.6	1	0.5	-0.6	1.4	0.7
Nitab4.5_0005340g0050.1	-0.8	-1.3	-0.1	-0.3	-0.6	-0.1
Nitab4.5_0005928g0010.1	0.6	1.3	-0.4	-2.6	-1.1	-0.6
Nitab4.5_0006088g0020.1	-0.1	-2.1	0.5	-2.1	0	-0.7
Nitab4.5_0006134g0010.1	0.7	1	1	1	1.4	1
Nitab4.5_0006232g0010.1	0.9	1.3	-0.6	-0.2	1.3	0.9
Nitab4.5_0006260g0020.1	0.1	1.1	1	-0.1	0.9	0.8
Nitab4.5_0006437g0020.1	0.5	1	0.9	0.8	0.7	0.4
Nitab4.5_0006507g0060.1	-1	-1.4	-0.9	-1.6	-0.8	-1.2
Nitab4.5_0006508g0040.1	-0.6	-1.8	-0.3	-2	-2.4	-0.2
Nitab4.5_0006558g0010.1	-0.3	-1.3	0	-0.7	-1	-0.6
Nitab4.5_0006561g0040.1	0.5	1.2	-0.4	-0.7	-0.3	-0.3
Nitab4.5_0006561g0060.1	0.7	1.3	-0.1	-0.6	-0.3	-0.2
Nitab4.5_0006650g0010.1	0.1	-2.4	-1.3	-2.5	1.2	-0.5
Nitab4.5_0006656g0060.1	-0.4	-1.5	-0.2	-0.3	0	-0.8
Nitab4.5_0006822g0040.1	-0.6	-1.5	-0.7	-0.4	-0.8	-0.2
Nitab4.5_0006880g0040.1	0.1	1.8	0.3	-0.7	1.1	0.8
Nitab4.5_0006888g0010.1	-0.4	-1.6	-1.2	-2.9	0.8	-1.1
Nitab4.5_0006889g0010.1	-1	-1.1	-0.4	-0.4	-0.7	-0.4
Nitab4.5_0006988g0020.1	0.5	1	0.2	-1.4	-0.9	-1.1
Nitab4.5_0007063g0070.1	-0.3	-1.2	-0.4	0.3	-1.3	-1
Nitab4.5_0007254g0040.1	-0.7	-3.2	-1.9	-1.7	0.5	0
Nitab4.5_0007466g0010.1	0.9	1.7	1.4	-0.2	2	2.2
Nitab4.5_0007475g0010.1	0.2	1.3	1	1.3	3.3	2.7
Nitab4.5_0007540g0020.1	1	1.1	0.9	0.2	-0.1	0
Nitab4.5_0007624g0050.1	-1	-1	-0.5	-0.3	-0.5	-0.2
Nitab4.5_0007722g0040.1	0.5	1	0.1	1	0.5	-0.4
Nitab4.5_0007815g0080.1	0.1	-1.4	-0.9	-0.1	0.6	0.7
Nitab4.5_0007963g0040.1	0.2	1.2	1.3	0.8	0.9	0.4
Nitab4.5_0008015g0010.1	0.9	1.3	-0.7	-1.5	-1.1	-1.4
Nitab4.5_0008054g0020.1	-0.9	-3.4	-1.9	-1.6	-0.2	0.3
Nitab4.5_0008080g0010.1	-0.9	-1.3	-0.7	-1.2	-0.7	0
Nitab4.5_0008141g0030.1	-0.8	-1.7	0.3	0.4	0.4	-0.5
Nitab4.5_0008156g0030.1	-0.5	-1.4	-1.3	-2	1.4	-0.8
