taxa	flg22	elf18	nlp20	og	chitin
AT4G15765	-0.28	0.13	0.29	0.21	0.01
AT1G04490	1.72	1.57	1.66	2.29	-0.04
AT1G68570	0.00	0.08	0.04	0.55	0.57
AT4G33810	0.15	-0.31	0.56	0.72	0.47
AT1G07270	-0.09	0.06	0.24	0.08	0.48
AT1G44160	0.12	0.64	0.50	0.69	0.02
AT1G22680	-0.13	0.10	0.43	0.26	0.02
AT5G42210	-0.24	0.42	0.33	0.17	0.30
AT5G51470	0.60	0.78	1.16	0.85	0.33
AT2G37760	0.70	0.91	0.82	1.27	0.59
AT5G19560	-0.23	0.44	0.34	0.09	-0.33
AT3G63210	-0.52	-0.01	0.05	-0.14	-0.17
AT5G20940	-0.11	0.33	0.28	0.46	0.15
AT1G75040	0.54	0.94	1.11	0.17	1.04
AT3G48940	-0.24	0.13	-0.11	0.32	-0.22
AT2G04160	0.56	0.75	1.13	1.04	0.53
AT3G48600	0.10	-0.10	0.38	0.10	0.67
AT5G47650	-0.08	-0.16	0.48	0.41	-0.04
AT4G20450	-0.38	0.35	0.02	0.18	0.08
AT4G02180	0.13	0.02	0.70	0.01	0.26
AT4G29030	0.36	0.73	-0.01	0.00	0.93
AT3G09430	0.20	0.47	0.74	0.77	0.33
AT5G57090	-0.26	0.24	0.31	0.16	0.17
AT1G07500	1.29	0.73	1.61	1.85	0.91
AT2G22660	-0.21	-0.02	0.35	0.19	-0.05
AT1G10380	-0.25	0.38	0.32	0.25	0.18
AT5G43420	2.97	3.69	2.60	3.54	2.98
AT5G42785	0.10	0.19	0.67	0.48	-0.01
AT1G66970	-0.06	0.08	0.11	0.29	0.51
AT3G04130	-0.14	-0.09	0.06	0.04	0.43
AT5G16410	-0.05	0.66	0.51	0.09	0.35
AT3G16400	-0.30	0.28	0.27	-0.12	-0.06
AT5G53486	0.34	0.80	0.40	0.91	0.72
AT3G03780	0.57	0.33	1.13	0.51	0.33
AT5G53230	-0.26	0.22	-0.13	0.10	0.31
AT2G33790	-0.01	0.13	0.33	-0.04	0.56
AT1G71015	-0.17	0.36	0.39	-0.25	-0.10
AT2G20721	-0.03	0.05	0.07	0.53	0.32
AT3G03820	-0.25	0.17	-0.23	0.32	0.08
AT1G24320	-0.25	0.46	0.32	-0.10	-0.17
AT1G72920	3.69	3.61	4.25	3.32	3.67
AT2G38430	-0.11	0.21	0.25	0.00	0.45
AT4G37560	0.46	0.35	1.02	0.65	0.25
AT1G58070	0.09	0.42	0.65	0.33	0.37
AT5G01060	-0.24	0.10	0.00	0.33	-0.10
AT2G17890	-0.40	0.49	-0.12	0.17	-0.33
AT2G35890	0.36	0.02	0.26	0.93	0.16
AT3G62500	-0.04	0.21	0.35	0.09	0.52
AT2G30820	0.31	-0.06	0.34	-0.02	0.88
AT5G44110	-0.28	0.13	0.06	0.18	0.29
AT2G03821	-0.02	0.26	0.12	0.05	0.54
AT1G49230	0.20	0.12	0.51	0.59	0.77
AT3G20935	-0.24	0.22	0.26	0.32	0.17
AT3G45710	-0.18	-0.06	0.38	0.10	-0.04
AT4G23500	-0.13	0.03	0.35	0.28	0.43
AT1G10730	0.41	0.69	0.97	0.57	0.33
AT5G04150	0.26	0.59	0.01	0.60	0.82
AT1G72670	-0.05	0.23	0.47	0.27	0.51
AT2G04350	0.10	0.13	0.66	0.06	0.18
AT2G23050	0.04	0.50	0.50	0.21	0.60
AT2G18210	3.28	3.76	3.27	3.85	3.16
AT5G11950	0.25	0.39	0.39	0.81	0.62
AT3G29670	0.10	0.06	0.66	0.13	0.29
AT4G19760	-0.03	0.48	0.15	0.53	0.41
AT5G54550	0.01	-0.31	0.38	0.26	0.57
AT1G07985	0.26	0.70	0.29	0.37	0.82
AT2G30940	-0.04	0.39	0.36	0.52	0.31
AT3G54140	0.82	1.33	0.41	1.38	0.53
AT5G53830	1.41	2.00	1.97	1.44	1.77
AT5G27400	0.00	0.13	0.00	0.56	0.39
AT5G16560	0.01	0.42	0.57	0.50	0.35
AT1G17300	0.27	0.41	0.83	0.44	0.14
AT3G44830	3.29	1.90	3.85	0.44	0.18
AT3G57490	-0.01	0.00	0.24	-0.01	0.55
AT2G47480	0.21	0.74	0.56	0.77	0.24
AT5G05840	0.28	0.58	-0.07	0.84	0.08
AT2G40350	0.72	0.26	0.49	1.28	0.53
AT3G13110	1.81	1.22	2.37	1.19	0.37
AT1G78510	-0.20	0.21	-0.01	0.36	0.32
AT2G24230	-0.06	-0.16	0.50	0.10	0.30
AT5G06300	0.19	0.26	0.53	0.75	-0.07
AT4G14690	0.10	0.71	0.26	0.61	0.66
AT4G25631	0.26	0.33	0.82	0.52	0.19
AT1G78950	-0.05	0.53	0.51	0.18	-0.14
AT2G41082	-0.02	0.86	0.40	0.54	0.27
AT2G19930	-0.18	0.31	0.28	0.28	0.37
AT5G23770	-0.28	-0.18	0.05	0.08	0.28
AT3G20850	0.05	-0.43	0.61	0.13	0.18
AT3G16680	-0.02	-0.34	0.54	0.52	0.39
AT2G11270	0.50	0.99	0.36	1.06	0.13
AT3G47050	0.20	1.03	0.15	0.76	0.61
AT4G19400	0.48	0.69	0.12	0.53	1.03
AT2G41312	-0.11	0.20	0.28	0.06	0.45
AT5G65750	0.34	0.30	0.90	0.18	0.15
AT3G18900	-0.02	0.33	0.54	0.28	0.49
AT3G05650	0.57	0.91	0.52	1.13	0.96
AT4G01820	0.11	0.05	0.67	0.41	-0.15
AT2G41970	-0.16	0.55	0.39	0.40	0.03
AT3G50650	0.99	1.42	1.54	0.94	0.37
AT2G31280	-0.01	0.27	0.39	0.54	0.17
AT5G60022	0.12	0.41	0.38	0.56	0.68
AT5G54130	-0.18	0.27	0.38	0.32	0.14
AT5G10170	-0.14	0.01	0.42	0.22	0.35
AT5G19170	0.01	-0.01	0.54	0.57	0.56
AT1G02390	1.20	0.34	0.92	1.76	0.63
AT5G49320	0.21	-0.03	0.15	0.76	0.15
AT4G12545	0.04	0.57	0.60	0.28	0.15
AT3G60790	1.17	0.66	0.46	1.72	0.16
AT3G52340	0.05	0.31	0.32	0.55	0.60
AT1G63100	-0.21	0.29	0.29	0.10	0.35
AT5G18661	0.28	0.28	0.54	0.83	0.66
AT5G28360	0.13	0.36	0.69	0.50	0.27
AT5G23990	-0.32	-0.27	0.23	0.12	0.07
AT3G23820	0.00	0.46	-0.10	0.55	0.02
AT1G18280	0.36	0.23	0.91	0.17	-0.07
AT2G32160	-0.10	0.50	0.45	0.10	0.20
AT2G22730	0.25	0.47	0.13	0.80	0.42
AT2G07741	0.00	-0.07	0.53	0.36	0.56
AT2G39830	-0.10	0.12	0.14	0.45	0.24
AT2G42110	-0.26	0.23	0.07	0.29	0.27
AT1G52700	0.22	0.26	0.37	0.78	0.66
AT1G75250	0.01	0.75	0.56	0.13	0.47
AT1G32560	-0.04	0.26	0.15	0.52	-0.75
AT1G25480	-0.08	0.24	0.48	0.13	0.19
AT4G28330	-0.10	0.69	-0.09	0.22	0.45
AT1G68935	0.26	0.61	0.58	0.05	0.81
AT1G10000	0.26	0.89	0.82	-0.11	0.48
AT4G16220	-0.20	0.06	0.36	-0.06	-0.07
AT4G29990	0.03	0.60	0.58	0.05	0.52
AT1G05540	0.14	0.63	0.69	0.40	0.41
AT3G59750	3.86	3.76	4.41	3.70	2.18
AT4G13990	0.00	0.14	0.03	0.55	0.51
AT2G29125	0.07	0.04	0.12	0.62	0.46
AT5G42990	0.03	0.62	0.10	0.58	0.53
AT4G16215	0.04	0.10	0.60	0.25	-0.22
AT1G16490	0.23	0.02	0.21	0.78	0.47
AT4G30450	-0.02	0.45	0.42	0.51	0.53
AT5G66690	-0.52	-0.08	0.03	-0.26	-0.25
AT4G13130	-0.12	0.21	0.43	0.01	0.09
AT1G76210	1.22	0.53	1.77	1.00	1.32
AT1G51880	-0.19	0.05	0.36	0.32	-0.39
AT1G06475	0.16	0.50	0.23	0.71	0.56
AT5G08270	-0.41	-0.15	0.14	-0.12	-0.05
AT2G42260	0.18	0.35	0.07	0.73	0.36
AT5G55520	-0.15	0.30	0.11	0.40	0.30
AT4G34419	-0.09	0.70	0.18	0.46	0.34
AT5G38386	0.68	0.05	-0.07	0.67	1.23
AT1G13970	-0.47	0.05	0.08	0.02	-0.28
AT3G11040	0.53	1.04	1.08	0.38	0.29
AT4G16700	0.11	0.34	0.39	0.26	0.66
AT1G56320	0.11	0.00	0.66	0.36	0.02
AT1G11070	-0.50	-0.20	-0.15	-0.14	0.05
AT2G07640	0.30	0.23	0.18	0.85	0.48
AT4G36160	0.28	0.59	0.23	0.30	0.83
AT2G19550	0.39	0.47	0.94	0.44	0.61
AT3G21140	0.95	0.86	1.50	0.70	0.78
AT2G29740	0.42	0.56	0.97	-0.04	0.07
AT4G23420	-0.16	0.28	0.13	0.38	0.25
AT2G34670	0.83	0.80	0.72	1.37	0.64
AT2G21187	0.37	0.45	-0.21	0.92	0.09
AT1G12670	0.14	1.02	0.69	0.68	0.34
AT4G28850	-0.21	0.42	0.20	0.33	0.21
AT4G22230	-0.09	0.58	0.45	0.11	0.26
AT4G19030	-0.16	-0.01	0.39	0.38	-0.24
AT4G39860	-0.09	0.14	0.18	0.11	0.46
AT3G01750	0.08	0.25	0.62	0.01	0.31
AT1G27420	-0.18	0.07	-0.03	0.37	0.20
AT2G14920	0.02	0.34	0.56	-0.07	0.52
AT3G16410	-0.31	0.25	0.24	-0.11	0.01
AT4G17880	-0.35	-0.08	0.19	-0.25	0.07
AT1G26260	-0.08	0.08	0.47	0.34	0.23
AT4G09970	0.05	0.26	0.28	0.59	0.44
AT4G23205	0.65	0.75	0.43	1.15	1.19
AT5G62960	-0.24	0.03	0.10	0.30	-0.06
AT5G15160	-0.03	0.64	-0.02	0.18	0.52
AT5G60130	0.12	-0.64	0.17	0.21	0.66
AT2G37090	-0.01	-0.01	0.53	0.09	0.06
AT2G33460	-0.16	0.57	0.39	0.05	0.33
AT1G09812	-0.12	0.61	0.31	0.34	0.43
AT1G15720	-0.26	0.65	0.29	0.06	0.15
AT5G65970	-0.05	0.16	0.49	0.36	0.11
AT5G55820	-0.27	0.12	0.27	0.05	0.12
AT2G07698	-0.05	-0.04	0.50	0.40	0.45
AT4G25540	0.05	0.06	0.08	-0.11	0.59
AT5G60060	-0.10	0.64	-0.27	0.28	0.44
AT1G07710	0.18	0.09	0.72	0.63	0.28
AT3G43400	0.32	0.43	0.86	0.74	0.57
AT1G78760	1.09	1.86	1.63	1.29	0.68
AT5G40530	0.11	0.03	0.26	0.32	0.65
AT5G46115	-0.12	0.45	0.35	-0.05	0.42
AT1G68360	0.27	0.54	0.54	0.82	0.45
AT2G02690	-0.42	0.32	0.01	0.12	-0.22
AT2G16310	0.35	0.23	0.13	0.67	0.89
AT5G01320	-0.02	0.18	0.39	0.52	0.30
AT4G24960	0.22	0.42	0.44	0.76	0.70
AT2G18570	-0.22	0.36	0.33	0.23	0.14
AT1G17960	0.22	0.20	0.26	0.76	0.24
AT5G47060	0.15	0.29	0.30	0.57	0.69
AT5G50300	-0.01	0.45	0.43	0.54	0.11
AT4G38070	-0.08	0.18	0.46	0.28	0.27
AT4G28650	-0.31	-0.04	0.20	0.03	0.23
AT4G01070	0.48	1.18	0.99	1.02	0.27
AT3G55910	0.69	0.86	0.28	1.23	0.47
AT2G02700	-0.09	0.21	0.37	0.45	0.40
AT2G41445	0.00	0.34	0.23	0.20	0.54
AT5G45870	-0.02	0.26	0.41	0.52	0.06
AT5G50915	0.25	0.12	0.31	0.79	0.34
AT4G37140	0.72	0.65	0.98	1.26	0.57
AT2G41810	0.08	0.09	0.07	0.62	0.31
AT2G43670	0.00	0.45	0.20	0.54	0.32
AT1G23890	-0.08	0.36	0.46	0.01	0.46
AT3G16430	-0.40	0.23	0.14	0.03	-0.08
AT2G46690	-0.38	-0.08	0.17	-0.20	-0.05
AT1G61710	0.42	0.49	0.18	0.96	0.42
AT3G49832	-0.07	-0.14	0.11	0.47	-0.23
AT3G49750	0.05	0.19	0.59	-0.05	0.33
AT5G67550	0.03	-0.16	0.57	0.39	-0.12
AT3G43840	-0.20	0.45	0.35	-0.21	0.21
AT5G62730	-0.14	0.08	-0.28	0.40	0.07
AT3G59250	-0.16	0.03	0.02	0.31	0.38
AT4G29710	0.11	0.30	0.31	0.32	0.65
AT2G41480	1.01	1.14	1.08	1.55	0.62
AT3G14452	-0.18	-0.24	0.36	-0.01	0.07
AT3G10986	0.29	0.35	0.35	0.83	0.53
AT1G13040	-0.04	-0.11	0.18	-0.05	0.50
AT2G45830	-0.12	0.12	0.25	0.42	0.18
AT1G28590	0.01	1.19	0.55	0.54	-0.04
AT1G64710	2.45	1.78	2.99	1.31	1.31
AT2G41260	0.02	0.54	0.56	-0.16	-0.23
AT2G27240	0.16	0.34	0.56	0.70	0.11
AT5G45840	0.88	0.77	1.42	1.12	0.86
AT2G33170	0.08	0.42	0.61	0.55	0.25
AT1G20440	-0.01	0.20	0.21	0.53	-0.07
AT1G25360	0.04	0.47	-0.12	-0.16	0.58
AT3G61950	0.29	0.02	0.11	0.30	0.83
AT2G40050	0.37	0.75	-0.01	0.33	0.90
AT2G34925	0.20	0.32	0.18	0.74	-0.11
AT4G15563	-0.02	0.33	0.51	0.51	0.15
AT4G00040	-0.07	0.19	0.27	0.47	0.22
AT3G23090	-0.31	0.21	0.22	0.07	0.10
AT3G13470	0.20	-0.12	0.07	0.02	0.74
AT1G09170	-0.06	0.12	0.48	0.13	0.15
AT5G41315	-0.42	-0.30	-0.23	0.11	0.11
AT4G27260	-0.03	0.86	0.51	0.29	0.29
AT2G18450	-0.10	-0.07	0.43	0.22	-0.17
AT2G07723	-0.09	0.10	0.43	0.36	0.45
AT2G09970	0.00	-0.30	0.54	0.30	-0.20
AT5G20970	0.10	0.50	0.51	0.54	0.63
AT1G13610	0.23	0.12	0.60	0.77	0.59
AT2G24450	-0.11	0.20	0.23	0.42	0.17
AT1G07350	0.62	1.01	1.14	0.64	1.15
AT2G34150	-0.06	0.05	0.16	-0.03	0.48
AT2G41410	0.56	1.06	0.89	1.09	0.84
AT4G17340	-0.37	-0.10	0.17	-0.25	-0.08
AT2G23530	0.04	0.26	-0.14	0.17	0.57
AT2G18660	1.72	1.31	2.26	1.20	1.18
AT1G13635	0.08	0.98	0.61	0.11	0.60
AT4G33590	-0.05	0.32	0.10	0.06	0.48
AT4G31920	0.51	0.65	1.05	0.45	0.21
AT3G43790	-0.13	0.08	0.05	0.40	0.04
AT2G01530	-0.07	0.27	0.47	0.02	-0.14
AT5G02750	0.23	0.71	0.34	0.61	0.76
AT5G24210	1.87	2.50	2.07	2.40	1.52
AT1G49700	0.11	0.29	0.64	0.36	0.04
AT1G74460	-0.13	-0.11	0.41	0.07	-0.24
AT3G54260	-0.20	0.33	0.33	0.32	0.13
AT2G41700	-0.10	0.40	0.43	0.34	0.15
AT5G19660	0.00	0.50	0.53	0.02	0.29
AT3G02940	0.61	0.13	0.29	1.14	-0.04
AT2G31310	0.02	0.34	-0.08	0.20	0.56
AT4G36220	1.35	1.44	1.88	1.02	0.53
AT5G40020	0.14	0.13	0.68	0.36	-0.26
AT3G04770	0.21	0.13	0.14	0.00	0.74
AT1G65180	-0.13	0.19	0.40	-0.25	-0.39
AT2G37260	-0.09	0.50	0.44	0.34	0.13
AT4G15230	0.29	0.19	0.35	0.82	0.00
AT5G43380	0.18	0.28	0.70	0.50	0.71
AT3G56850	0.05	0.18	0.58	0.18	0.41
AT1G52720	-0.22	0.10	0.19	0.32	0.01
AT4G01030	-0.02	-0.06	0.51	-0.08	0.05
AT5G49500	-0.08	0.31	0.19	0.45	0.24
AT1G30420	3.38	2.77	3.91	2.34	1.55
AT3G16280	0.38	0.30	0.91	0.83	0.09
AT3G46760	-0.08	0.49	0.45	0.13	0.00
AT3G12460	0.25	0.75	0.78	-0.02	0.69
AT1G25988	0.79	0.83	1.01	1.32	0.26
AT1G78280	1.29	1.30	0.46	1.83	0.14
AT2G41010	3.50	3.67	3.35	4.03	2.73
AT4G03610	-0.08	0.23	0.45	0.03	-0.02
AT1G21525	0.73	0.82	1.14	0.96	1.26
AT4G34420	0.49	0.65	0.07	0.73	1.02
AT1G19710	-0.27	0.25	0.26	0.14	0.13
AT5G06610	0.17	0.32	0.28	0.29	0.70
AT3G03350	-0.08	0.21	0.02	0.45	0.15
AT3G14530	-0.39	0.02	0.14	0.14	0.00
AT5G58860	-0.28	0.08	0.25	0.08	-0.39
AT5G04790	0.20	0.00	0.73	0.24	0.00
AT2G43840	-0.10	0.14	0.04	0.21	0.43
AT3G21530	0.01	0.32	0.00	0.53	0.05
AT1G74458	0.00	0.32	0.27	0.53	0.18
AT1G72200	-0.35	0.04	0.17	-0.48	-0.15
AT3G53210	-0.17	0.05	0.32	0.36	-0.10
AT3G06460	-0.03	0.19	-0.23	0.34	0.49
AT5G51210	0.59	0.69	0.40	0.45	1.11
AT2G15320	0.15	0.26	0.51	0.60	0.68
AT5G03545	-0.04	0.19	0.49	0.11	-0.01
AT3G29410	-0.18	0.16	0.21	0.25	0.35
AT4G00416	0.07	0.62	0.56	0.00	0.59
AT1G49370	-0.12	0.15	0.17	0.40	0.21
AT1G32760	-0.20	0.04	0.08	0.33	0.25
AT4G03450	4.39	3.60	4.92	2.48	1.57
AT4G35030	-0.29	0.03	-0.08	-0.08	0.24
AT3G04960	-0.03	0.09	0.50	0.25	-0.32
AT5G56840	0.63	0.59	1.16	0.60	0.41
AT1G03545	-0.01	0.88	0.52	0.45	0.34
AT3G48510	-0.14	0.65	0.24	0.39	0.16
AT3G10680	0.27	0.11	0.56	0.33	0.79
AT4G36120	-0.25	0.27	0.11	0.18	0.28
AT4G17760	0.08	-0.10	-0.13	0.28	0.61
AT4G28703	3.38	4.32	2.62	3.91	3.60
AT3G30725	0.13	0.62	0.12	0.65	0.57
AT1G19220	-0.21	-0.12	0.31	-0.05	-0.11
AT5G53895	0.30	0.47	-0.33	0.82	0.30
AT2G19330	0.46	0.87	0.99	-0.16	0.52
AT4G12550	-0.17	0.30	0.32	0.35	-0.05
AT3G05890	-0.22	0.26	0.31	0.30	0.09
AT3G17380	0.09	0.18	0.18	0.49	0.62
AT5G37800	0.05	0.48	0.32	0.57	0.56
AT5G66562	0.33	0.63	0.19	0.86	0.65
AT1G29380	-0.04	0.01	0.48	0.19	0.20
AT1G17830	0.68	0.94	1.21	1.01	0.88
AT3G28150	-0.14	-0.11	-0.21	0.39	0.23
AT5G61740	0.04	-0.09	0.57	0.06	0.29
AT2G22000	0.15	0.36	0.21	0.68	0.17
AT1G16310	-0.04	0.36	0.26	0.11	0.49
AT3G44800	-0.01	0.34	0.51	0.18	0.18
AT3G53860	-0.14	-0.01	0.12	0.37	0.38
AT3G02830	-0.05	0.06	-0.02	0.47	0.39
AT3G60960	0.00	-0.04	0.07	-0.08	0.53
AT1G53940	-0.41	-0.04	0.09	0.11	0.01
AT2G17640	-0.21	0.18	0.14	0.32	0.05
AT2G01021	0.14	0.56	0.55	0.49	0.66
AT4G15096	-0.14	-0.04	-0.15	0.38	0.22
AT5G45580	-0.08	-0.17	0.21	0.38	0.44
AT4G20230	-0.13	0.42	0.16	0.40	0.24
AT3G20500	0.35	0.39	0.02	0.87	0.36
AT5G57520	0.05	0.38	0.19	0.57	0.28
AT2G23093	-0.04	0.21	0.17	0.05	0.48
AT1G05577	0.52	0.48	0.76	1.04	0.63
AT5G12330	0.13	0.45	0.33	0.31	0.65
AT3G15020	-0.24	-0.01	0.25	0.22	0.28
AT1G18710	0.38	1.01	0.22	0.90	0.39
AT2G40320	-0.20	0.05	0.32	0.13	0.28
AT3G44410	0.29	0.57	0.64	0.60	0.81
AT1G25520	-0.15	0.15	0.22	0.11	0.38
AT3G09950	0.01	0.11	0.46	0.53	0.12
AT2G21550	0.21	0.15	0.41	0.73	0.20
AT5G59240	0.14	0.03	0.22	0.45	0.67
AT2G16580	0.01	0.05	-0.14	0.47	0.53
AT5G55420	0.89	0.31	1.41	0.41	0.29
AT4G39110	0.26	-0.28	0.78	0.11	0.36
AT2G42850	-0.25	0.16	-0.07	0.28	0.24
AT2G03370	-0.05	-0.22	0.47	0.38	0.27
AT1G19550	-0.15	0.24	0.05	0.38	0.00
AT2G28790	-0.14	0.59	0.30	0.37	0.38
AT2G25060	0.04	0.40	0.28	0.56	0.54
AT5G13250	-0.07	0.29	0.40	0.45	0.36
AT1G57540	-0.01	0.03	0.18	0.51	-0.08
AT3G63110	-0.04	0.09	0.48	0.18	0.03
AT2G37780	0.12	0.87	0.07	0.64	0.09
AT5G03150	-0.19	-0.07	0.33	-0.04	0.00
AT3G60710	-0.13	0.23	0.39	0.36	0.11
AT4G04460	0.00	0.19	-0.11	0.01	0.52
AT2G31083	-0.21	0.24	-0.02	0.31	0.24
AT3G25950	-0.26	0.83	-0.07	0.25	0.14
AT5G56160	0.26	0.13	0.27	0.78	0.29
AT1G69430	1.59	1.26	1.41	2.11	0.37
AT1G55525	0.41	0.17	0.64	0.43	0.93
AT5G60150	-0.30	0.48	0.22	0.04	0.13
AT5G28000	0.10	0.10	0.61	0.47	0.24
AT4G01140	0.15	0.23	0.38	0.67	0.51
AT3G04680	0.04	0.29	0.56	0.24	0.30
AT3G18720	0.43	0.37	0.95	0.37	0.28
AT1G05400	0.35	0.32	0.87	0.74	0.73
AT5G48570	2.49	3.14	3.01	1.37	1.32
AT2G20400	0.03	0.24	0.30	0.55	0.37
AT1G04870	-0.03	-0.05	0.06	0.19	0.49
AT3G29630	0.07	-0.12	0.59	-0.25	-0.11
AT4G10020	0.33	-0.18	0.51	0.85	0.46
AT1G11500	0.30	0.32	0.82	0.13	0.24
AT1G65140	0.41	0.49	0.39	0.42	0.93
AT3G10450	-0.24	0.13	0.28	0.13	0.11
AT2G30380	-0.09	0.14	0.43	0.36	0.31
AT5G57785	-0.26	0.25	0.26	0.16	-0.04
AT5G43630	-0.14	0.69	0.15	0.38	0.16
AT5G24105	0.08	-0.01	0.40	0.60	0.56
AT1G46480	-0.20	-0.07	0.14	0.30	0.32
AT5G66440	0.13	0.50	0.65	0.50	0.24
AT5G24205	0.84	1.26	1.35	1.31	0.14
AT3G60990	-0.08	-0.02	0.15	0.44	-0.12
AT1G79380	1.06	1.32	0.86	1.57	0.33
AT2G07759	0.39	0.60	0.58	0.49	0.90
AT2G47780	0.22	0.62	0.24	0.40	0.74
AT1G30260	-0.14	0.19	-0.09	0.38	0.32
AT3G16650	-0.07	0.09	0.09	0.07	0.45
AT5G24910	-0.07	0.59	0.45	0.43	0.29
AT4G23060	0.61	0.56	0.45	1.13	0.42
AT3G10150	-0.05	0.00	0.47	0.35	0.33
AT5G38020	-0.35	0.42	0.12	-0.12	0.17
AT1G80240	-0.03	0.04	0.48	-0.13	0.22
AT3G20075	0.03	0.22	-0.01	0.55	0.40
AT1G20570	-0.17	0.01	-0.06	0.31	0.35
AT5G48190	-0.08	-0.02	0.08	0.44	-0.13
AT1G35780	-0.12	0.16	0.20	0.39	0.26
AT2G19650	-0.11	0.08	0.41	0.36	0.15
AT2G47160	-0.30	0.04	0.21	0.13	-0.13
AT5G52720	1.74	1.41	1.15	2.25	1.43
AT1G32190	-0.12	0.07	0.16	0.04	0.39
AT4G37730	-0.04	0.28	0.48	0.36	0.33
AT4G15910	0.06	0.42	0.26	0.58	0.17
AT4G16563	-0.46	0.36	0.06	-0.44	0.02
AT3G56780	0.02	-0.01	0.54	0.41	0.26
AT2G20520	-0.27	0.33	-0.12	0.24	0.17
AT4G01440	-0.15	0.42	0.36	0.15	0.18
AT2G10606	0.10	0.83	-0.49	0.61	0.15
AT4G00760	0.59	0.45	1.11	0.72	0.64
AT5G20540	-0.25	0.67	0.27	0.17	0.16
AT4G39795	0.53	-0.07	0.31	0.50	1.04
AT1G80540	-0.25	0.43	-0.19	0.27	0.22
AT4G25750	0.25	-0.10	0.32	0.07	0.77
AT2G19490	-0.01	0.04	-0.04	0.05	0.51
AT3G07070	0.08	0.29	0.59	0.10	0.21
AT1G34570	-0.06	0.19	0.10	0.45	0.20
AT2G07680	-0.08	0.19	0.22	0.43	0.32
AT2G21220	-0.12	0.16	0.11	0.30	0.39
AT5G21150	0.32	0.91	0.83	0.07	0.50
AT5G43780	-0.17	0.15	0.35	0.22	0.02
AT4G10310	-0.10	0.28	0.41	0.28	0.27
AT1G49320	-0.14	0.38	0.21	0.38	0.06
AT1G08670	0.19	0.62	0.71	0.47	0.05
AT1G78020	0.36	0.16	0.24	0.37	0.87
AT4G28320	-0.03	0.21	0.18	0.07	0.48
AT2G23360	-0.21	0.09	0.30	-0.28	-0.03
AT5G37980	-0.13	0.71	0.16	0.38	-0.05
AT3G51540	0.12	-0.10	0.63	0.30	-0.12
AT1G09880	-0.12	0.38	0.25	0.39	0.32
AT3G59000	-0.05	0.29	0.34	0.29	0.46
AT1G21090	0.39	0.75	0.62	0.58	0.90
AT2G48090	0.19	0.64	0.38	0.70	0.40
AT2G21050	-0.15	0.18	0.37	0.07	0.20
AT4G37670	1.48	1.10	2.00	0.97	0.63
AT2G18938	0.33	0.29	-0.07	0.55	0.84
AT3G29635	0.20	-0.41	0.72	0.15	0.62
AT4G14980	-0.16	0.28	0.02	0.35	-0.17
AT5G52420	-0.03	-0.04	-0.20	0.00	0.48
AT1G55210	1.95	1.41	2.46	0.94	0.66
AT1G64620	0.14	0.57	0.57	0.65	0.09
AT4G32250	-0.07	0.25	0.07	0.44	-0.02
AT1G11600	-0.06	0.56	-0.12	0.27	0.45
AT1G17100	0.07	0.15	-0.08	0.43	0.58
AT5G19260	0.59	0.53	1.10	0.47	1.00
AT5G57570	0.20	0.15	-0.58	0.63	0.71
AT3G22310	-0.06	-0.07	-0.09	-0.06	0.45
AT2G42480	1.00	0.48	1.51	0.45	0.22
AT5G24655	0.86	1.03	1.37	0.78	1.20
AT1G47590	0.28	0.62	0.56	0.31	0.79
AT2G36307	-0.01	0.22	0.25	0.50	0.12
AT3G50150	0.48	-0.04	0.24	0.55	0.99
AT1G78330	-0.08	0.33	0.05	0.18	0.42
AT2G01020	0.22	0.33	0.26	0.73	0.55
AT1G72990	0.28	0.36	0.78	0.36	0.22
AT3G24500	2.47	2.69	2.98	2.13	1.91
AT4G14130	-0.24	0.42	0.09	0.27	0.08
AT5G03010	0.30	0.37	0.81	0.32	0.72
AT1G68700	0.48	-0.06	0.63	0.99	-0.16
AT4G27657	3.54	3.77	1.60	4.05	0.90
AT4G32940	0.13	0.51	0.64	0.29	-0.17
AT3G47090	2.51	2.95	2.37	2.08	3.02
AT4G21740	1.48	1.95	1.50	1.99	1.53
AT5G14180	-0.14	0.24	0.37	0.13	0.00
AT3G16590	0.19	0.30	0.70	0.16	0.06
AT5G11930	0.27	0.39	0.46	0.78	-0.04
AT1G73400	0.02	0.44	0.18	0.28	0.53
AT5G40040	-0.05	0.78	0.17	0.13	0.46
AT5G35525	0.81	0.85	1.10	1.32	0.77
AT1G65483	0.17	1.07	0.53	0.32	0.67
AT1G06180	0.90	1.07	1.21	1.41	0.85
AT3G11520	-0.05	0.42	0.45	0.21	0.38
AT2G02020	-0.10	0.00	-0.08	0.41	0.35
AT5G65040	0.32	0.31	0.43	0.83	0.52
AT3G47740	-0.23	0.34	0.08	0.27	-0.08
AT2G33770	0.04	0.16	0.09	0.54	0.43
AT5G03995	0.08	-0.22	0.52	0.59	0.57
AT3G48160	-0.07	-0.05	0.43	0.25	0.30
AT1G69870	0.14	0.93	0.40	0.64	0.54
AT4G37295	0.59	1.15	1.09	0.26	0.55
AT3G13435	1.87	0.80	0.70	2.38	1.41
AT1G11710	-0.19	-0.06	0.09	0.13	0.32
AT1G60610	0.60	0.43	1.11	0.71	0.38
AT1G01940	0.89	0.50	1.39	0.80	0.72
