taxa	flg22	elf18	nlp20	og	chitin
AT5G39120	1.71	0.68	0.67	0.90	1.16
AT2G13570	0.77	0.52	0.22	-0.40	-0.33
AT1G56300	1.48	0.75	0.93	0.64	0.39
AT4G02380	2.53	2.16	1.98	1.83	1.60
AT3G09370	1.74	1.29	1.18	0.67	0.11
AT3G12130	0.89	0.43	0.34	0.08	0.25
AT2G30250	2.70	2.00	1.16	2.15	1.33
AT1G16210	1.18	0.50	0.63	0.33	0.14
AT3G62960	1.09	0.70	0.54	0.48	0.24
AT1G18300	5.72	5.60	3.83	5.17	2.23
AT1G07170	1.06	0.54	0.32	0.51	0.42
AT5G17000	2.06	1.82	1.06	1.50	0.64
AT3G25140	0.82	0.83	0.26	0.19	0.14
AT4G10250	0.99	1.28	0.43	0.04	0.42
AT1G77360	1.46	0.76	0.90	0.76	0.64
AT1G76130	2.27	1.27	1.71	0.76	0.34
AT4G11530	1.51	1.69	0.91	0.96	0.58
AT1G67460	2.84	2.49	1.14	2.29	1.78
AT1G64470	0.96	1.09	0.41	0.27	0.03
AT5G43460	1.03	0.47	0.47	0.24	0.00
AT5G18140	1.01	0.61	0.26	0.45	0.05
AT1G18160	1.50	1.09	0.94	0.48	0.27
AT2G42510	0.93	0.78	0.06	0.33	0.37
AT3G11100	1.14	0.87	0.58	0.54	-0.03
AT3G59500	1.24	0.76	0.69	0.35	0.26
AT5G66870	1.36	1.14	0.27	0.80	-0.14
AT1G67856	2.85	3.03	2.30	2.09	0.79
AT2G30780	1.07	0.53	0.51	0.14	-0.05
AT4G40065	0.68	-0.08	-0.11	-0.29	0.12
AT2G44400	0.94	0.85	0.14	0.39	0.35
AT4G00860	0.94	0.38	0.39	0.22	0.24
AT2G42860	1.05	0.64	0.49	-0.01	-0.15
AT2G40095	4.38	4.44	3.82	3.77	3.41
AT2G38350	0.69	0.32	0.03	-0.02	0.14
AT2G35190	0.78	0.68	0.22	0.11	0.10
AT1G47890	5.00	3.54	4.44	3.12	2.40
AT1G32230	1.65	1.13	1.09	0.38	0.32
AT1G59810	0.77	0.58	0.21	0.08	0.07
AT3G21865	1.37	0.79	0.81	0.35	0.34
AT5G42440	2.82	2.61	1.97	1.96	2.26
AT4G24290	2.17	1.39	1.61	0.80	0.53
AT1G43000	5.95	6.12	5.31	5.39	4.77
AT3G27290	1.34	0.69	0.78	0.36	0.51
AT5G67440	1.38	0.57	0.83	0.44	0.20
AT2G28305	1.46	1.51	0.78	0.90	0.51
AT2G30440	2.20	1.70	1.64	1.44	1.06
AT1G11790	0.84	0.42	0.10	0.28	0.15
AT2G17530	1.34	0.67	0.78	0.51	0.23
AT4G20850	0.89	0.70	0.33	0.31	0.11
AT3G09830	4.37	4.34	3.38	3.81	3.32
AT2G24830	1.10	0.69	0.54	0.43	0.29
AT4G12040	2.58	2.18	1.96	2.02	0.99
AT2G35510	2.25	1.26	1.69	0.56	0.32
AT2G47170	0.84	0.32	0.28	0.12	0.17
AT3G23175	0.80	0.55	0.23	0.22	0.15
AT3G59080	3.69	3.49	2.94	3.13	2.72
AT2G38290	2.60	1.80	2.04	1.42	1.66
AT2G28940	2.65	2.13	2.09	1.40	1.29
AT4G21390	4.76	4.37	3.97	4.20	3.88
AT1G76965	1.03	0.55	0.32	0.47	0.09
AT1G65541	1.02	0.38	0.46	0.41	0.33
AT5G08190	1.25	0.75	0.69	0.55	0.51
AT2G34790	0.84	0.65	0.23	0.27	0.28
AT2G46320	1.33	0.59	0.77	0.39	0.29
AT3G49800	1.45	0.88	0.89	0.39	0.12
AT2G47820	0.94	0.42	0.33	0.36	0.37
